province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
east_lancashire,rose_croix,7,Palatine,,Manchester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_South_East_Lancashire
east_lancashire,rose_croix,31,St. Peter’s,,Bolton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_East_Lancashire
east_lancashire,rose_croix,128,Rose of Lahore,,Manchester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_South_East_Lancashire
east_lancashire,rose_croix,134,Humphrey Chetham,,Manchester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_South_East_Lancashire
east_lancashire,rose_croix,177,Murray,,Eccles,,,https://catalogue.wmlmt.org.uk/wiki/District_of_South_East_Lancashire
east_lancashire,rose_croix,178,Hartley,,Oldham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_South_East_Lancashire
east_lancashire,rose_croix,193,Manchester,,Manchester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_South_East_Lancashire
east_lancashire,rose_croix,194,Mark Wilkinson,,Darwen,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_East_Lancashire
east_lancashire,rose_croix,195,Walter M. Hamilton,,Eccles,,,https://catalogue.wmlmt.org.uk/wiki/District_of_South_East_Lancashire
east_lancashire,rose_croix,197,James D. Murray,,Burnley,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_East_Lancashire
east_lancashire,rose_croix,261,Verney Clayton,,Accrington,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_East_Lancashire
east_lancashire,rose_croix,290,Bethel,,Rawtenstall,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_East_Lancashire
east_lancashire,rose_croix,364,Accrington,,Accrington,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_East_Lancashire
east_lancashire,rose_croix,375,Centurion,,Manchester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_South_East_Lancashire
east_lancashire,rose_croix,402,Ashton,,Ashton-under-Lyne,,,https://catalogue.wmlmt.org.uk/wiki/District_of_South_East_Lancashire
east_lancashire,rose_croix,428,Salford,,Eccles,,,https://catalogue.wmlmt.org.uk/wiki/District_of_South_East_Lancashire
east_lancashire,rose_croix,435,Bury,,Bury,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_East_Lancashire
east_lancashire,rose_croix,440,East Lancashire,,Manchester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_South_East_Lancashire
east_lancashire,rose_croix,447,Emmanuel,,Bolton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_East_Lancashire
east_lancashire,rose_croix,494,Rochdale St. Chad,,Rochdale,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_East_Lancashire
east_lancashire,rose_croix,587,Chapter of Good Report,,Manchester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_South_East_Lancashire
east_lancashire,rose_croix,603,William Horrocks,,Blackburn,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_East_Lancashire
east_lancashire,rose_croix,781,Canon Francis Paton-Williams,,Rawtenstall,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_East_Lancashire
east_lancashire,rose_croix,800,Stanley,,Audenshaw,,,https://catalogue.wmlmt.org.uk/wiki/District_of_South_East_Lancashire
east_lancashire,rose_croix,982,Mossley,,Mossley,,,https://catalogue.wmlmt.org.uk/wiki/District_of_South_East_Lancashire
east_lancashire,rose_croix,1073,Colne St. Bartholomew,,Colne,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_East_Lancashire
east_lancashire,rose_croix,1086,Donald Maitland Davies,,Manchester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_South_East_Lancashire
