province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
essex,rose_croix,27,Coromandel,,Maldon,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Essex
essex,rose_croix,175,Helena,,Colchester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Essex
essex,rose_croix,257,Magi,,Harwich,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Essex
essex,rose_croix,287,St. Cedd,,Chelmsford,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Essex
essex,rose_croix,486,St. Botolph,,Colchester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Essex
essex,rose_croix,594,Kincaid,,Clacton-on-Sea,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Essex
essex,rose_croix,621,Gild of the Holy Trinity,,Saffron Walden,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Essex
essex,rose_croix,706,Braintree St. Mary,,Halstead,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Essex
essex,rose_croix,723,St. Hugh,,Harlow,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Essex
essex,rose_croix,733,St. Giles at Abbey Gate,,Colchester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Essex
essex,rose_croix,743,Ilford St. Mary,,Harlow,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Essex
essex,rose_croix,782,Hamford,,Frinton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Essex
essex,rose_croix,1047,Trireme,,Brightlingsea,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Essex
essex,rose_croix,1128,Bocking St.Peter,,Braintree,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Essex
essex,rose_croix,1129,Mistley Vale,,Manningtree,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Essex
essex,rose_croix,1160,Burnham,,Burnham-on-Crouch,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Essex
