province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
gloucestershire,rose_croix,39,Severn Tabernacle,,Cheltenham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_South_West_Midlands
gloucestershire,rose_croix,49,St. Thomas,,Gloucester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Gloucestershire_and_Herefordshire
gloucestershire,rose_croix,133,Phoenix Tabernacle,,Cirencester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_South_West_Midlands
gloucestershire,rose_croix,348,Cotswold,,Cheltenham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Gloucestershire_and_Herefordshire
gloucestershire,rose_croix,383,Downend,,Downend,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Gloucestershire_and_Herefordshire
gloucestershire,rose_croix,387,Ledbury,,Ledbury,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Gloucestershire_and_Herefordshire
gloucestershire,rose_croix,410,Cheltonia,,Cheltenham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Gloucestershire_and_Herefordshire
gloucestershire,rose_croix,439,Charity,,Downend,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Gloucestershire_and_Herefordshire
gloucestershire,rose_croix,473,Sabrina,,Lydney,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Gloucestershire_and_Herefordshire
gloucestershire,rose_croix,542,Staple Hill,,Downend,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Gloucestershire_and_Herefordshire
gloucestershire,rose_croix,544,St. Aidwyn,,Cirencester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Gloucestershire_and_Herefordshire
gloucestershire,rose_croix,828,Chipping Campden,,Chipping Campden,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Gloucestershire_and_Herefordshire
gloucestershire,rose_croix,840,Stroud,,Stroud,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Gloucestershire_and_Herefordshire
gloucestershire,rose_croix,947,Sympathy and Grace,,Wotton-under-Edge,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Gloucestershire_and_Herefordshire
gloucestershire,rose_croix,1134,Theoc,,Tewkesbury,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Gloucestershire_and_Herefordshire
gloucestershire,rose_croix,1166,St. Mary & St. Peter,,Cirencester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Gloucestershire_and_Herefordshire
