province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
hampshire_iow,rose_croix,9,Royal Naval,,Portsmouth,,,"https://catalogue.wmlmt.org.uk/wiki/District_of_Hampshire_&_IOW,_Solent"
hampshire_iow,rose_croix,41,Canute,,Southampton,,,"https://catalogue.wmlmt.org.uk/wiki/District_of_Hampshire_&_IOW,_Solent"
hampshire_iow,rose_croix,99,Vectis,,"Ryde, IoW",,,"https://catalogue.wmlmt.org.uk/wiki/District_of_Hampshire_&_IOW,_Solent"
hampshire_iow,rose_croix,237,Portsdown,,Cosham,,,"https://catalogue.wmlmt.org.uk/wiki/District_of_Hampshire_&_IOW,_Solent"
hampshire_iow,rose_croix,294,Fides et Justitia,,Southampton,,,"https://catalogue.wmlmt.org.uk/wiki/District_of_Hampshire_&_IOW,_Solent"
hampshire_iow,rose_croix,400,Soleot,,Gosport,,,"https://catalogue.wmlmt.org.uk/wiki/District_of_Hampshire_&_IOW,_Solent"
hampshire_iow,rose_croix,455,Portsmouth,,Cosham,,,"https://catalogue.wmlmt.org.uk/wiki/District_of_Hampshire_&_IOW,_Solent"
hampshire_iow,rose_croix,484,St. Glaf,,Woolston,,,"https://catalogue.wmlmt.org.uk/wiki/District_of_Hampshire_&_IOW,_Solent"
hampshire_iow,rose_croix,623,Chapter Sincerity,,Fareham,,,"https://catalogue.wmlmt.org.uk/wiki/District_of_Hampshire_&_IOW,_Solent"
hampshire_iow,rose_croix,694,Carnarvon,,Horndean,,,"https://catalogue.wmlmt.org.uk/wiki/District_of_Hampshire_&_IOW,_Solent"
hampshire_iow,rose_croix,797,St. Boniface,,Seaview,,,"https://catalogue.wmlmt.org.uk/wiki/District_of_Hampshire_&_IOW,_Solent"
hampshire_iow,rose_croix,879,Chapter of Revelation,,Fareham,,,"https://catalogue.wmlmt.org.uk/wiki/District_of_Hampshire_&_IOW,_Solent"
hampshire_iow,rose_croix,1003,Cleopas,,Horndean,,,"https://catalogue.wmlmt.org.uk/wiki/District_of_Hampshire_&_IOW,_Solent"
hampshire_iow,rose_croix,1007,Cliffdale,,Cosham,,,"https://catalogue.wmlmt.org.uk/wiki/District_of_Hampshire_&_IOW,_Solent"
hampshire_iow,rose_croix,1035,Ramble River,,Botley,,,"https://catalogue.wmlmt.org.uk/wiki/District_of_Hampshire_&_IOW,_Solent"
