province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
leicestershire_rutland,rose_croix,92,St. Margaret’s,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Leicestershire_&_Rutland
leicestershire_rutland,rose_croix,124,Ratae Council,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_East_Midlands
leicestershire_rutland,rose_croix,179,Golden Jubilee Council,,Lutterworth,,,https://catalogue.wmlmt.org.uk/wiki/District_of_East_Midlands
leicestershire_rutland,rose_croix,241,Oudh,,Melton Mowbray,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Leicestershire_&_Rutland
leicestershire_rutland,rose_croix,311,Oliver,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Leicestershire_&_Rutland
leicestershire_rutland,rose_croix,558,Hugh Latimer,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Leicestershire_&_Rutland
leicestershire_rutland,rose_croix,564,Abbey of Leicester,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Leicestershire_&_Rutland
leicestershire_rutland,rose_croix,614,Bishop Segrave,,Loughborough,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Leicestershire_&_Rutland
leicestershire_rutland,rose_croix,617,Venonae,,Lutterworth,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Leicestershire_&_Rutland
leicestershire_rutland,rose_croix,1046,Saints Peter and Paul,,Syston,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Leicestershire_&_Rutland
leicestershire_rutland,rose_croix,1153,Ascebi,,Ashby-de-la-Zouch,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Leicestershire_&_Rutland
