province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
lincolnshire,rose_croix,167,Sancta Maria,,Lincoln,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Lincolnshire
lincolnshire,rose_croix,191,Maguncor,,Grantham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Lincolnshire
lincolnshire,rose_croix,192,Tower,,Grimsby,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Lincolnshire
lincolnshire,rose_croix,430,Candleshoe,,Skegness,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Lincolnshire
lincolnshire,rose_croix,446,Patmos,,Scunthorpe,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Lincolnshire
lincolnshire,rose_croix,503,Stukeley,,Spalding,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Lincolnshire
lincolnshire,rose_croix,593,Crookshank,,Cleethorpes,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Lincolnshire
lincolnshire,rose_croix,638,Alexandra,,Long Sutton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Lincolnshire
lincolnshire,rose_croix,806,Sleaford,,Sleaford,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Lincolnshire
lincolnshire,rose_croix,898,Lindis,,Boston,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Lincolnshire
lincolnshire,rose_croix,968,WoIds,,Louth,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Lincolnshire
lincolnshire,rose_croix,1030,Whitgift,,Grimsby,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Lincolnshire
lincolnshire,rose_croix,1043,Old Hall,,Gainsborough,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Lincolnshire
