province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
london_metropolitan,rose_croix,1,Grand Metropolitan,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Paul
london_metropolitan,rose_croix,3,Mount Calvary,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._John
london_metropolitan,rose_croix,29,Palestine,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Matthew
london_metropolitan,rose_croix,45,Oxford and Cambridge University,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._John
london_metropolitan,rose_croix,53,Holy Sanctuary,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Peter
london_metropolitan,rose_croix,67,United Studholme,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Matthew
london_metropolitan,rose_croix,71,Bayard,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._James
london_metropolitan,rose_croix,72,Canterbury,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Paul
london_metropolitan,rose_croix,79,Orpheus,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._John
london_metropolitan,rose_croix,97,Rose and Lily,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Peter
london_metropolitan,rose_croix,100,Duke of Connaught and Strathearn,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Matthew
london_metropolitan,rose_croix,101,Adoniram,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._James
london_metropolitan,rose_croix,105,Coeur de Lion,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Paul
london_metropolitan,rose_croix,107,Shadwell Clerke,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._John
london_metropolitan,rose_croix,121,Belgrave,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Peter
london_metropolitan,rose_croix,126,Victory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Matthew
london_metropolitan,rose_croix,129,Tuscan,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._James
london_metropolitan,rose_croix,130,Alfred Bevan,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Paul
london_metropolitan,rose_croix,132,Dartrey,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._John
london_metropolitan,rose_croix,137,Earl of Lathom,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Peter
london_metropolitan,rose_croix,138,Grafton,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Matthew
london_metropolitan,rose_croix,139,Alleyn,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._James
london_metropolitan,rose_croix,140,St. Pancras,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Paul
london_metropolitan,rose_croix,148,Euston,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._John
london_metropolitan,rose_croix,151,King Edward VII,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Peter
london_metropolitan,rose_croix,160,Golden Square,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Matthew
london_metropolitan,rose_croix,161,McMahon,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._James
london_metropolitan,rose_croix,164,Athiumney,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Paul
london_metropolitan,rose_croix,166,Celsus,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._John
london_metropolitan,rose_croix,168,Crusaders,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Peter
london_metropolitan,rose_croix,181,Public Schools,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/London_Group_of_Chapters_-_St._Matthew
