province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
middlesex,rose_croix,21,Leeson,,Southgate,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,274,St. Christopher,,Twickenham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,280,Herga,,Kenton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,363,St. Giles,,Uxbridge,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,370,Byron,,Kenton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,377,Centenary,,Staines,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,460,All Hallows,,Twickenham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,533,Matthew Arnold.,,Staines,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,566,Trinity,,Kenton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,578,Twickenham St Alban,,Twickenham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,674,Southgate,,Southgate,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,696,Serenity,,Uxbridge,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,727,Eighteenth Milestone,,Staines,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,735,Gauntlet,,Kenton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,848,Cubic Stone,,Twickenham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,858,Argus,,Kenton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,868,Magna Carta,,Staines,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,888,Undivided Trinity,,Twickenham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,900,Pax Vobiscum,,Kenton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,1006,Justice and Peace,,Kenton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,1018,Alan Trapnell,,Twickenham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,1063,Middlesex Sovereigns,,Twickenham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
middlesex,rose_croix,1101,Concorde,,Twickenham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Middlesex
