province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
northants_hunts,rose_croix,155,Thomas a Beckett,NN5 7UL,,,,https://www.northants-huntsrosecroix.org.uk/list-of-chapters/
northants_hunts,rose_croix,201,David Earl of Huntingdon,PE29 6XU,,,,https://www.northants-huntsrosecroix.org.uk/list-of-chapters/
northants_hunts,rose_croix,205,Saint George of England,,Wellingborough,,,https://www.northants-huntsrosecroix.org.uk/list-of-chapters/
northants_hunts,rose_croix,214,Medeshamstede,,Peterborough,,,https://www.northants-huntsrosecroix.org.uk/list-of-chapters/
northants_hunts,rose_croix,256,Cytringan,NN16 0DB,,,,https://www.northants-huntsrosecroix.org.uk/list-of-chapters/
northants_hunts,rose_croix,522,Peverel,NN10 9YJ,,,,https://www.northants-huntsrosecroix.org.uk/list-of-chapters/
northants_hunts,rose_croix,642,Saint Crispin,NN5 7UL,,,,https://www.northants-huntsrosecroix.org.uk/list-of-chapters/
northants_hunts,rose_croix,658,Mercia,NN16 0DB,,,,https://www.northants-huntsrosecroix.org.uk/list-of-chapters/
northants_hunts,rose_croix,810,Dr Crucefix,,Peterborough,,,https://www.northants-huntsrosecroix.org.uk/list-of-chapters/
northants_hunts,rose_croix,860,Saint Lawrence the Martyr,,Towcester,,,https://www.northants-huntsrosecroix.org.uk/list-of-chapters/
northants_hunts,rose_croix,939,Beneventa,,Daventry,,,https://www.northants-huntsrosecroix.org.uk/list-of-chapters/
northants_hunts,rose_croix,951,Good Intent,PE9 2PA,,,,https://www.northants-huntsrosecroix.org.uk/list-of-chapters/
northants_hunts,rose_croix,1138,Castle Ashby Chapter Rose Croix,NN10 9YJ,,,,https://www.northants-huntsrosecroix.org.uk/list-of-chapters/
northants_hunts,rose_croix,1220,Heritage Chapter Rose Croix,NN17 1AD,,,,https://www.northants-huntsrosecroix.org.uk/list-of-chapters/
