province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
northumberland,rose_croix,8,Royal Kent,,Newcastle upon Tyne,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Northumberland
northumberland,rose_croix,300,St. Oswald,,Whitley Bay,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Northumberland
northumberland,rose_croix,366,Halystane,,Morpeth,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Northumberland
northumberland,rose_croix,388,St. Gabriel,,Newcastle upon Tyne,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Northumberland
northumberland,rose_croix,423,Aberwicke,,Berwick upon Tweed,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Northumberland
northumberland,rose_croix,646,St. Wilfrid,,Haltwhistle,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Northumberland
northumberland,rose_croix,861,St. Alban’s at Earsdon,,Shiremoor,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Northumberland
northumberland,rose_croix,913,Prudhoe Castle,,Mickley,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Northumberland
northumberland,rose_croix,925,Prior’s Haven,,North Shields,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Northumberland
northumberland,rose_croix,940,Sevecus,,Throckley,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Northumberland
northumberland,rose_croix,949,St. Aidan,,Newbiggin by the Sea,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Northumberland
northumberland,rose_croix,978,Cramlington,,Cramlington,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Northumberland
northumberland,rose_croix,1025,Wudcestre,,Ashington,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Northumberland
northumberland,rose_croix,1070,Northumbria,,Blyth,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Northumberland
northumberland,rose_croix,1135,De Sussex,,Gosforth,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Northumberland
