province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
nottinghamshire,rose_croix,17,Nottingham,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Nottinghamshire
nottinghamshire,rose_croix,63,Nottinghamshire Council,,West Bridgford,,,https://catalogue.wmlmt.org.uk/wiki/District_of_East_Midlands
nottinghamshire,rose_croix,109,Magnus,,Newark,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Nottinghamshire
nottinghamshire,rose_croix,218,Wingfield,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Nottinghamshire
nottinghamshire,rose_croix,254,Galway,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Nottinghamshire
nottinghamshire,rose_croix,308,Walthall,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Nottinghamshire
nottinghamshire,rose_croix,470,Maun,,Mansfield,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Nottinghamshire
nottinghamshire,rose_croix,648,Normanton,,Retford,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Nottinghamshire
nottinghamshire,rose_croix,665,Edwalton,,West Bridgford,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Nottinghamshire
nottinghamshire,rose_croix,689,Rufford,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Nottinghamshire
nottinghamshire,rose_croix,713,Harlequin,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Nottinghamshire
nottinghamshire,rose_croix,734,Chilwell,,Chilwell,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Nottinghamshire
nottinghamshire,rose_croix,745,Daybrook,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Nottinghamshire
nottinghamshire,rose_croix,765,Radford Gate,,Worksop,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Nottinghamshire
nottinghamshire,rose_croix,812,St. Edwin,,Mansfield,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Nottinghamshire
nottinghamshire,rose_croix,909,Newstead Abbey,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Nottinghamshire
nottinghamshire,rose_croix,1170,Persapientium,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Nottinghamshire
