province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
somerset,rose_croix,6,St.Peter and St.Paul,,Bath,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,13,Alfred,,Taunton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,28,William de Irwin,,Weston-super-Mare,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,95,Antiquity,,Bath,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,485,Estune,,Nailsea,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,519,Yeovil,,Yeovil,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,598,Cadbury Camp,,Nailsea,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,678,Keynsham,,Keynsham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,784,Saint Decuman and Saint Dubricius,,Minehead,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,801,Frome,,Frome,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,826,Vale of Taunton,,Taunton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,838,Jubilee,,Keynsham,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,912,Wedrnore,,Wedmore,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,924,Portbury Priory,,Nailsea,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,966,Sedgemoor,,Bridgwater,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,1067,Aisecombe Manor,,Weston-super-Mare,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,1133,Somerset Millennium,,Nailsea,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,1139,Harry Franklin,,Crewkerne,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
somerset,rose_croix,1167,Clevedon,,Clevedon,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Somerset
