province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
south_wales,rose_croix,70,Morganwg,,Swansea,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,118,Caerdaf,,Cardiff,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,215,St David,,Cardiff,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,227,Pontypridd,,Pontypridd,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,397,Maesteg,,Bridgend,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,406,Powys,,Penarth,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,586,Maesyfed,,Llandrindod Wells,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,625,Sir Frederick J Alban,,Cardiff,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,699,St Baruc,,Barry,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,700,Landav,,Cardiff,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,722,Holy Well,,Porthcawl,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,729,St Maelog,,Merthyr Tydfil,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,788,St Dyfrig,,Cardiff,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,789,St Teilo,,Cardiff,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,799,St Alud,,Brecon,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,870,Gwyr,,Swansea,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,910,Abaty Margam,,Port Talbot,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,941,Neath,,Neath,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,955,Pontyclun,,Pontyclun,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,985,Cowbridge,,Cowbridge,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,1011,Caerffili,,Caerphilly,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,1012,Universities,,Penarth,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,1036,Groeswen,,Pontyclun,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,1041,St Euddogwy,,Cardiff,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,1087,Sketty Hall,,Swansea,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
south_wales,rose_croix,1172,Richard William Dicker,,Caerphilly,,,http://swalesandmon-rosecroix.org.uk/chapters.htm
