province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
staffordshire,rose_croix,33,Zadok Tabernacle,,Stafford,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Midlands
staffordshire,rose_croix,154,North Staffordshire Tabernacle,,Stoke-on-Trent,,,https://catalogue.wmlmt.org.uk/wiki/District_of_North_Midlands
staffordshire,rose_croix,187,Stoke-on-Trent,,Stoke-on-Trent,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Staffordshire_&_Shropshire
staffordshire,rose_croix,217,All Saints,,West Bromwich,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Staffordshire_&_Shropshire
staffordshire,rose_croix,233,St. Chad,,Tamworth,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Staffordshire_&_Shropshire
staffordshire,rose_croix,248,Holy Trinity,,Wolverhampton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Staffordshire_&_Shropshire
staffordshire,rose_croix,253,St. James,,Handsworth,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Staffordshire_&_Shropshire
staffordshire,rose_croix,273,St. Peter ad Vincula,,Stoke-on-Trent,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Staffordshire_&_Shropshire
staffordshire,rose_croix,331,Walesho,,Aldridge,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Staffordshire_&_Shropshire
staffordshire,rose_croix,376,Betheney,,Stafford,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Staffordshire_&_Shropshire
staffordshire,rose_croix,619,The Mummery,,Wolverhampton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Staffordshire_&_Shropshire
staffordshire,rose_croix,748,Leek,,Leek,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Staffordshire_&_Shropshire
staffordshire,rose_croix,771,Aldridge St. Mary,,Aldridge,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Staffordshire_&_Shropshire
staffordshire,rose_croix,792,Sandwell,,West Bromwich,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Staffordshire_&_Shropshire
staffordshire,rose_croix,965,Kidsgrove,,Kidsgrove,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Staffordshire_&_Shropshire
staffordshire,rose_croix,975,Trent Valley,,Burton-on-Trent,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Staffordshire_&_Shropshire
staffordshire,rose_croix,997,Samaritan,,Warley,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Staffordshire_&_Shropshire
staffordshire,rose_croix,1023,Castra Nova,,Newcastle under Lyme,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Staffordshire_&_Shropshire
