province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
suffolk,rose_croix,22,Victoria,,Ipswich,,,https://suffolkdistrictrc.com/176304696/176304700
suffolk,rose_croix,162,St. Edmund,,Bury St. Edmunds,,,https://suffolkdistrictrc.com/176304696/176304700
suffolk,rose_croix,247,Simon of Sudbury,,Sudbury,,,https://suffolkdistrictrc.com/176304696/176304700
suffolk,rose_croix,645,United Anglian,,Diss,,,https://suffolkdistrictrc.com/176304696/176304700
suffolk,rose_croix,714,St. Felix,,Felixtowe,,,https://suffolkdistrictrc.com/176304696/176304700
suffolk,rose_croix,737,Point du Jour,,Lowestoft,,,https://suffolkdistrictrc.com/176304696/176304700
suffolk,rose_croix,820,Elizabeth,,Ipswich,,,https://suffolkdistrictrc.com/176304696/176304700
suffolk,rose_croix,973,Gipping Valley,,Stowmarket,,,https://suffolkdistrictrc.com/176304696/176304700
suffolk,rose_croix,1146,Suffolk,,Ipswich,,,https://suffolkdistrictrc.com/176304696/176304700
suffolk,rose_croix,1186,Laconic,,Woodbridge,,,https://suffolkdistrictrc.com/176304696/176304700
