province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
surrey,rose_croix,122,Noel Money,,Croydon,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Surrey
surrey,rose_croix,156,Bethlehem,,Croydon,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Surrey
surrey,rose_croix,200,Lily of Kasauli,,Surbiton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Surrey
surrey,rose_croix,236,Kynggestone,,Surbiton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Surrey
surrey,rose_croix,268,Guildford,,Guildford,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Surrey
surrey,rose_croix,448,West Croydon,,Croydon,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Surrey
surrey,rose_croix,585,St. Paul at Stoneleigh,,Sutton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Surrey
surrey,rose_croix,708,Theodore of Tarsus,,Redhill,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Surrey
surrey,rose_croix,791,Antioch,,Sutton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Surrey
surrey,rose_croix,830,Warlingham,,Redhill,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Surrey
surrey,rose_croix,885,Surrbiton,,Surbiton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Surrey
surrey,rose_croix,984,St. George at Chertsey,,Chertsey,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Surrey
surrey,rose_croix,996,Archbishop Laud,,Croydon,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Surrey
surrey,rose_croix,1081,Table Fellowship,,Guildford,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Surrey
surrey,rose_croix,1088,Rose of Surrey,,Surbiton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Surrey
surrey,rose_croix,1100,Pride of Surrey,,Sutton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Surrey
surrey,rose_croix,1125,Ranulf Flambard,,Godalming,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Surrey
