province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
worcestershire,rose_croix,12,St Dunstan,WR3 8LX,,"Last Wed Oct, 2nd Wed Jan, 1st Fri May (E)",,https://rose-croix-worcs.masonicwebsite.org/chapters-in-district/
worcestershire,rose_croix,198,St Nicolas,B14 6DT,,"4th Fri Oct, Jan, 3rd Fri Sep (E)",,https://rose-croix-worcs.masonicwebsite.org/chapters-in-district/
worcestershire,rose_croix,316,Gervase Paganel,DY8 1SP,,"2nd Thu Oct, 3rd Thu Jan, 2nd Thu Apr (E)",,https://rose-croix-worcs.masonicwebsite.org/chapters-in-district/
worcestershire,rose_croix,606,St Ann of Malvern,WR3 8LX,,"4th Fri Sep, 4th Tue Feb, 1st Wed May (E)",,https://rose-croix-worcs.masonicwebsite.org/chapters-in-district/
worcestershire,rose_croix,615,Halesowen,B63 3LU,,"1st Mon Mar, Nov (E), 2nd Mon May",,https://rose-croix-worcs.masonicwebsite.org/chapters-in-district/
worcestershire,rose_croix,688,St Mary & All Saints,DY13 9HB,,"Last Thu Oct, Jan, Last Fri May (E)",,https://rose-croix-worcs.masonicwebsite.org/chapters-in-district/
worcestershire,rose_croix,711,St Francis of Assisi,B14 6DT,,"4th Sat Sep (E), Jan, Apr",,https://rose-croix-worcs.masonicwebsite.org/chapters-in-district/
worcestershire,rose_croix,862,Breme,,Kidderminster,"1st Wed May (E), Jul, Sep",,https://rose-croix-worcs.masonicwebsite.org/chapters-in-district/
worcestershire,rose_croix,883,Merston Culy,B14 6DT,,"4th Fri Mar (E), Jun",,https://rose-croix-worcs.masonicwebsite.org/chapters-in-district/
worcestershire,rose_croix,908,Oldswinford,DY8 1SP,,"1st Thu Dec, Feb, Apr (E)",,https://rose-croix-worcs.masonicwebsite.org/chapters-in-district/
worcestershire,rose_croix,970,Worcestershire,,Halesowen,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Worcestershire
worcestershire,rose_croix,994,Evesham,WR11 4PD,,"4th Thu Mar, 3rd Thu Jun (E), Oct",,https://rose-croix-worcs.masonicwebsite.org/chapters-in-district/
worcestershire,rose_croix,1022,Northfield,B31 2JS,,"2nd Mon Jan, Mar, Jun (E)",,https://rose-croix-worcs.masonicwebsite.org/chapters-in-district/
