province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
london_metropolitan,cryptic_council,7,Council of the Four Kings,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Council_of_London
london_metropolitan,cryptic_council,15,Rose and Lily,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Council_of_London
london_metropolitan,cryptic_council,45,Perram,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Council_of_London
london_metropolitan,cryptic_council,46,Britannic Council of Madeira,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Council_of_London
london_metropolitan,cryptic_council,47,Londinium,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Council_of_London
london_metropolitan,cryptic_council,67,Rumbelow,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Council_of_London
london_metropolitan,cryptic_council,126,The Brigadier Galloway,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Council_of_London
london_metropolitan,cryptic_council,145,The Guild of Freemen,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Council_of_London
london_metropolitan,cryptic_council,202,Londinium Matutinus,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Council_of_London
london_metropolitan,cryptic_council,275,Goose & Gridiron,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Council_of_London
