province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
shropshire,craft_lodge,262,Salopian Lodge,,Shrewsbury,Second Monday in month. October to April,February,https://www.shropshiremasons.org.uk/craft-lodges/salopian-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,601,St John’s Lodge,,Wellington,First Friday in month October to April (Except Jan). December,December,https://www.shropshiremasons.org.uk/craft-lodges/st-johns-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,611,The Lodge of the Marches,,Ludlow,First Wednesday in month (second in January). October to May,March,https://www.shropshiremasons.org.uk/craft-lodges/the-lodge-of-the-marches,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,1120,St Milburga Lodge,,Wellington,Second Tuesday in month. October to April,January,https://www.shropshiremasons.org.uk/craft-lodges/st-milburga-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,1124,The Lodge of St Oswald,,Oswestry,First Monday in month. October to April,January,https://www.shropshiremasons.org.uk/craft-lodges/the-lodge-of-st-oswald,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,1432,Fitz Alan Lodge,,Oswestry,Third Thursday in month. October to April,November,https://www.shropshiremasons.org.uk/craft-lodges/fitz-alan-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,1575,Clive Lodge,TF9 3AP,,Second Wednesday in month. September to April,April,https://www.shropshiremasons.org.uk/craft-lodges/clive-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,1621,The Castle Lodge,,Bridgnorth,Third Tuesday each month. September to April,October,https://www.shropshiremasons.org.uk/craft-lodges/the-castle-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,1896,Audley Lodge,,Newport,Last Tuesday in month. September to April. Second Tuesday in December,January,https://www.shropshiremasons.org.uk/craft-lodges/audley-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,2131,Brownlow Lodge,,Ellesmere,First Wednesday in month. September to April (except January),October,https://www.shropshiremasons.org.uk/craft-lodges/brownlow-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,2311,St Alkmund Lodge,,Whitchurch,Second Wednesday in month. September to April,October,https://www.shropshiremasons.org.uk/craft-lodges/st-alkmund-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,2883,The Wrekin Lodge,,London,Third Monday in February. Fourth Tuesday in April. Saturday after fourth Friday in September,February,https://www.shropshiremasons.org.uk/craft-lodges/the-wrekin-lodge,,
shropshire,craft_lodge,3229,Pengwerne Lodge,,Shrewsbury,Third Thursday in month. September to April,December,https://www.shropshiremasons.org.uk/craft-lodges/pengwerne-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,4158,Sabrina Lodge,,Shrewsbury,First Monday in month. October to May,November,https://www.shropshiremasons.org.uk/craft-lodges/sabrina-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,4267,The Teme Lodge,LD7 1NP,,Third Tuesday in month. September to April,October,https://www.shropshiremasons.org.uk/craft-lodges/the-teme-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,4790,Old Salopian Lodge,,London,Please note that the Old Salopian Lodge 4790 future meeting dates/slots are as follows:. 4th Tuesday of September (24th Sept 2019). 3rd Tuesday of November – Installation (19th Nov 2019),,https://www.shropshiremasons.org.uk/craft-lodges/old-salopian-lodge,,
shropshire,craft_lodge,4877,The Longmynd Lodge,,Church Stretton,"Fourth Friday in month. September, October, November, January, February and April",October,https://www.shropshiremasons.org.uk/craft-lodges/the-longmynd-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,5368,The Old Ellesmerian Lodge,,Ellesmere,Second Saturday in March and May. Third Saturday in September and October,October,https://www.shropshiremasons.org.uk/craft-lodges/the-old-ellesmerian-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,5481,Old Wrekinian Lodge,,Wellington,Last Friday in March and September. Third Friday in June. Friday before the third Saturday in November,November,https://www.shropshiremasons.org.uk/craft-lodges/old-wrekinian-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,5724,Uxacona Lodge,,Wellington,Last Thursday in Month. September to April,September,https://www.shropshiremasons.org.uk/craft-lodges/uxacona-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,6243,The Roden Lodge,,Whitchurch,Third Monday in month. September to April,April,https://www.shropshiremasons.org.uk/craft-lodges/the-roden-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,6262,Shropshire Installed Masters’ Lodge,,Shrewsbury,"First Saturday in February, April & November. April",April,https://www.shropshiremasons.org.uk/craft-lodges/shropshire-installed-masters-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,6346,Caer Caradoc Lodge,,Church Stretton,Second Friday in month. September to April. First Friday in December,October,https://www.shropshiremasons.org.uk/craft-lodges/caer-caradoc-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,6900,The Column Lodge,,Shrewsbury,Second Thursday in month. September to April,January,https://www.shropshiremasons.org.uk/craft-lodges/the-column-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,6972,Cleobury Lodge,,Cleobury Mortimer,Third Thursday in month. September to April. Second Thursday in December,April,https://www.shropshiremasons.org.uk/craft-lodges/cleobury-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
shropshire,craft_lodge,7052,Compass Lodge (incorporating Duke of Sussex Chapter),,Oswestry,"4th Wednesday in Oct and Feb (Lodge and Chapter). 2nd Wednesday in Dec (Lodge only). 3rd Wednesday in April (Installation, Lodge only))",,https://www.shropshiremasons.org.uk/craft-lodges/compass-lodge,,
shropshire,craft_lodge,7133,Idsall Lodge,TF11 9BA,,First Wednesday in month. October to May,May,https://www.shropshiremasons.org.uk/craft-lodges/idsall-lodge,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Shropshire
