province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
somerset,craft_lodge,41,Royal Cumberland Lodge,,Bath,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,53,Royal Sussex Lodge,,Bath,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,135,Lodge of Perpetual Friendship,,Bridgwater,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,232,Marine Lodge,,Nailsea,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,261,Lodge of Unanimity and Sincerity,,Taunton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,285,Lodge of Love and Honour,,North Wootton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,291,Rural Philanthropic Lodge,,Burnham-on-Sea,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,329,Lodge of Brotherly Love,,Yeovil,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,379,Lodge of Honour,,Bath,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,437,Lodge of Science,,Wincanton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,446,Benevolent Lodge,BA5 2UE,,"at 18:15 except on the first Thursday in Jan, Feb, Mar (17:00), Apr, May, Jun, Oct, Nov and Dec",,https://www.somersetfreemasons.org/benevolent-lodge-no-446/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset
somerset,craft_lodge,772,Pilgrims Lodge,,Glastonbury,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,814,Parrett and Axe Lodge,,Crewkerne,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,906,Royal Albert Edward Lodge,,Bath,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,973,Royal Somerset Lodge,,Frome,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,976,Royal Clarence Lodge,,Bruton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,1197,Nyanza Lodge,,Ilminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,1199,Lodge of Agriculture,,,"18:30 except as below, on the third Monday (4th Monday April 2014 by dispensation). Months – Jan, Feb, Mar (Installation 17:00), Apr, May, Sep, Oct, Nov and Dec (18.00)",,https://www.somersetfreemasons.org/lodge-of-agriculture-1199/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset
somerset,craft_lodge,1222,Saint Kew Lodge,,Weston-super-Mare,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,1296,Vale of Brislington Lodge,,Keynsham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,1755,Eldon Lodge,,,,,https://www.somersetfreemasons.org/eldon-lodge-no-1755/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset
somerset,craft_lodge,1953,Lodge of Prudence and Industry,,Chard,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,1966,Lodge of Fidelity and Sincerity,,Wellington (S'set),,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,2038,Portcullis Lodge,,Langport,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,2390,Exmoor Lodge,,Minehead,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,2761,Royal Naval Lodge,,Yeovil,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,3158,Lodge of St. George,,Taunton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,3169,King Alfred,BS23 1NZ,,at 18.30 except Oct on the second Friday and Nov on the third Friday,,https://www.somersetfreemasons.org/king-alfred-3169/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset
somerset,craft_lodge,3573,Connaught Lodge,,Midsomer Norton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,3746,Somerset Masters’ Lodge,,,,,https://www.somersetfreemasons.org/somerset-masters-lodge-no-3746/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset
somerset,craft_lodge,4093,Wessex Lodge,,Weston-super-Mare,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
somerset,craft_lodge,4095,St. Alphege Lodge,,Bath,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Somerset,,
