province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url
south_wales,craft_lodge,8588,Aberhonddu Lodge,,"Masonic Temple, Cerrigcochion Road, Brecon, LD3 7NT","First Tuesday, October, December, February and May",December,https://www.southwalesmason.com/lodge/aberhonddu-lodge/,
south_wales,craft_lodge,6354,Aberpennar Lodge,CF44 7AT,,"Last Tuesday, September to June",October,https://www.southwalesmason.com/lodge/aberpennar-lodge/,
south_wales,craft_lodge,9247,Adare Lodge,CF31 2AP,,"Second Thursday, September; Second Tuesday, December; Third Thursday, January; Second Wednesday, April; Second Thursday, May",September,https://www.southwalesmason.com/lodge/adare-lodge/,
south_wales,craft_lodge,7982,Aelwyd Lodge,CF47 8RF,,"Fourth Thursday, October and February to May, Third Saturday, November, January. Fourth Saturday June",June,https://www.southwalesmason.com/lodge/aelwyd-lodge/,
south_wales,craft_lodge,833,Afan Lodge,SA13 1US,,"First Thursday, October to June",October,https://www.southwalesmason.com/lodge/afan-lodge/,
south_wales,craft_lodge,8829,Afon Dar Lodge,CF44 7AT,,"First Monday, October to December; and February to April; Second Monday, May",May,https://www.southwalesmason.com/lodge/afon-dar-lodge/,
south_wales,craft_lodge,9908,Albert Edward Court Lodge of Research,CF36 3LY,,"Third Friday June, Second Friday, October and February",October,https://www.southwalesmason.com/lodge/albert-edward-court-lodge-of-research/,
south_wales,craft_lodge,4026,Amethyst Lodge,CF10 2HL,,"First Friday, October, February, March and May",October,https://www.southwalesmason.com/lodge/amethyst-lodge/,
south_wales,craft_lodge,9672,Ancient Britons Lodge,CF83 1HR,,"Second Friday, October, December, March and June",June,https://www.southwalesmason.com/lodge/ancient-britons-lodge/,
south_wales,craft_lodge,7303,Associated Engineers Lodge,CF10 2HL,,"Fourth Thursday, September; First Thursday, December; Second Wednesday, February and April; Third Wednesday, May",September,https://www.southwalesmason.com/lodge/associated-engineers-lodge/,
south_wales,craft_lodge,6079,Baglan Lodge,SA13 1US,,"Second Thursday, October to June",April,https://www.southwalesmason.com/lodge/baglan-lodge/,
south_wales,craft_lodge,2357,Barry Lodge,CF62 7AT,,"Second Tuesday, October, November, December, January, March, April and May",November,https://www.southwalesmason.com/lodge/barry-lodge/,
south_wales,craft_lodge,3834,Beaufort Lodge,SA1 4DF,,"Second Thursday, October, November, February, March, April, and May",April,https://www.southwalesmason.com/lodge/beaufort-lodge/,
south_wales,craft_lodge,6265,Beehive Lodge,CF10 2HL,,"Second Tuesday, September, November, February and April",April,https://www.southwalesmason.com/lodge/beehive-lodge/,
south_wales,craft_lodge,8358,Breaksea Lodge,CF62 7AT,,"Second Wednesday, October, January, March and May",January,https://www.southwalesmason.com/lodge/breaksea-lodge/,
south_wales,craft_lodge,651,Brecknock Lodge,,"Masonic Temple, Cerrigcochion Road, Brecon, LD3 7NT","Last Wednesday, September to November and January to April",September,https://www.southwalesmason.com/lodge/brecknock-lodge/,
south_wales,craft_lodge,960,Bute Lodge,CF10 2HL,,"First Tuesday, October, December, February and April",February,https://www.southwalesmason.com/lodge/bute-lodge/,
south_wales,craft_lodge,3959,Caerdydd Lodge,CF10 2HL,,"Third Friday, October, November, March, April and May; Third Thursday in February",November,https://www.southwalesmason.com/lodge/caerdydd-lodge/,
south_wales,craft_lodge,364,Cambrian Lodge,SA11 1DN,,"Third Tuesday, September to June",March,https://www.southwalesmason.com/lodge/cambrian-lodge/,
south_wales,craft_lodge,8524,Cape St Vincent Lodge,CF10 2HL,,First Monday September; Second Tuesday December and Second Monday March and June,September,https://www.southwalesmason.com/lodge/cape-st-vincent-lodge/,
south_wales,craft_lodge,1573,Caradoc Lodge,SA1 4DF,,"First Monday, October to May",March,https://www.southwalesmason.com/lodge/caradoc-lodge/,
south_wales,craft_lodge,5772,Cartref Lodge,CF10 2HL,,"Fourth Thursday, October, November, January to April",February,https://www.southwalesmason.com/lodge/cartref-lodge/,
south_wales,craft_lodge,9132,Celtic Eagle Lodge,SA13 1US,,"Fourth Wednesday, September, Second Wednesday, November, January and May; Fourth Thursday, March",May,https://www.southwalesmason.com/lodge/celtic-eagle-lodge/,
south_wales,craft_lodge,7528,City of Cardiff Lodge,CF10 2HL,,"Second Saturday, October, January and May; First Saturday, March",May,https://www.southwalesmason.com/lodge/city-of-cardiff-lodge/,
south_wales,craft_lodge,6973,Clive Lodge,,"Masonic Temple, Stanwell Road, Penarth, CF64 2AB","Third Tuesday, October to December and February to April",April,https://www.southwalesmason.com/lodge/clive-lodge/,
