province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url
staffordshire,craft_lodge,539,St Matthew,WS9 8NH,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,2474,Hatherton,WS9 8NH,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,2784,Legge,WS9 8NH,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,3995,Mercia,WS9 8NH,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,5131,Concordia,WS9 8NH,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,5350,Construction,WS9 8NH,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,6109,Barr Beacon,WS9 8NH,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,7448,Streetly,WS9 8NH,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,7921,Aldridge,WS9 8NH,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,8917,Ogley Hay,WS9 8NH,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,624,Abbey,DE15 0LA,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,4850,St Modwen's,DE15 0LA,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,6408,Andresey,DE15 0LA,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,10016,Science Fictions and Fantasy Lodge,DE15 0LA,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,1587,St Giles,ST10 1PA,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,8092,Churnet Valley,ST10 1PA,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,5490,Old Denstonian,ST14 5HN,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,5389,Eccleshall,ST21 6BL,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,6887,Queeselet,B23 6BJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,4237,Edwina,B63 3LU,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,9213,Lewisham Oak,B63 3LU,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,2878,Bridge Trust,B19 1ED,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,6762,Old Masonians Midland,B19 1ED,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,9319,Phoenix,B19 1ED,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,1914,St Thomas's,,Kidsgrove,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,7481,Clough Hall,,Kidsgrove,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,966,St Edward's,ST13 5NW,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,4169,Dieu-la-Cresse,ST13 5NW,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,460,Sutherland Of Unity,ST5 1BW,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,2064,Smith Child,ST5 1BW,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,4054,John O'Gaunt,ST5 1BW,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,6710,Castellum,ST5 1BW,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,8161,Seagrim,ST5 1BW,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,1520,Earl Shrewsbury,ST19 5RN,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,1941,St Augustine's,ST19 5RN,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,4021,Prince of Wales,ST19 5RN,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,6291,Chase,ST19 5RN,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,9458,Gnosall St Lawrence,ST19 5RN,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,6393,Sherbrook,ST19 5RN,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,8331,Robert Mummery,ST19 5RN,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,726,Staffordshire Knot,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,2706,Foster Gough,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,4281,Izaak Walton,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,7569,Chartley,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,9567,Staffs Prov Stewards',ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,98,St Martin's,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,418,Menturia,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,451,Sutherland,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,546,Etruscan,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,1942,Minerva,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,2149,Gordon,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,2214,Josiah Wedgwood,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,3827,Ceramic,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,3935,Hanliensian,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,3934,Jasper,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,4008,Ready,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,4269,Trent,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,6835,St Peter ad Vincula,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,8355,North Staffordshire Round Table,ST16 3AJ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,https://onthesquare.co/lodge/north-staffordshire-round-table-lodge/
staffordshire,craft_lodge,2487,St Michael's,ST15 8AT,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,8557,Sheltonia,ST15 8AT,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,9504,Kibblestone,ST15 8AT,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,1039,St John's of Lichfield,B79 7QE,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,1060,Marmion,B79 7QE,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,6600,Ethelfleda,B79 7QE,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,8405,Ashmole of Lichfield,B79 7QE,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,8826,Whittington St Giles,B79 7QE,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,456,Forresters,ST14 8AG,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,696,St Bartholomew,WS10 7AZ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,4602,Wulfrun,WS10 7AZ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,5259,Old Eversley,WS10 7AZ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,8117,Oakeswell,WS10 7AZ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,8273,Round Table,WS10 7AZ,,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,347,Noah's Ark,,West Bromwich,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,662,Dartmouth,,West Bromwich,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,3847,Walton Walker and Sandwell,,West Bromwich,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,4927,Tibbington,,West Bromwich,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,6592,Patshull,,West Bromwich,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,6773,Bromwic,,West Bromwich,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,9329,Universal Brotherhood,,West Bromwich,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,419,St Peter's,,Wolverhampton,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,526,Honour,,Wolverhampton,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,1838,Tudor Lodge of Rifle Volunteers,,Wolverhampton,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,2848,Victoria,,Wolverhampton,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
staffordshire,craft_lodge,7411,Old Wulfrunians,,Wolverhampton,,,https://www.staffordshirefreemasons.org.uk/lodges.asp,
