province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
suffolk,craft_lodge,71,Lodge of Unity,,Lowestoft,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,81,Doric Lodge,,Woodbridge,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,114,British Union Lodge,,Ipswich,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,225,St. Luke's Lodge,,Ipswich,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,305,Apollo Lodge,,Beccles,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,332,Lodge of Virtue and Silence,,Hadleigh,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,376,Lodge of Perfect Friendship,,Ipswich,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,388,Lodge of Prudence,,Halesworth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,516,Phoenix Lodge,,Stowmarket,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,555,Lodge of Fidelity,,Framlingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,929,Waveney Lodge,,Bungay,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,936,Adair Lodge,,Saxmundham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,959,Prince of Wales' Lodge,,Ipswich,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,1008,Royal Saint Edmunds Lodge,,Bury St Edmunds,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,1224,Stour Valley Lodge,,Sudbury,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,1452,Saint Margaret's Lodge,,Lowestoft,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,1592,Abbey Lodge,,Bury St Edmunds,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,1631,Saint Andrew's Lodge,,Great Yarmouth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,1663,Hartismere Lodge,,Diss,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,1823,Royal Clarence Lodge,,Clare,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,1983,Martyn Lodge,,Southwold,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,2371,Felix Lodge,,Felixstowe,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,2438,Lodge of Faith,,Ipswich,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,2810,Abiff Lodge,,Saxmundham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,3093,Corinthian Lodge,,Ipswich,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,3291,Stradbroke Lodge,,Lowestoft,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,3828,St. Mary's Lodge,,Great Yarmouth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
suffolk,craft_lodge,3833,Felix United Service Lodge,,Felixstowe,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Suffolk,,
