province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
surrey,craft_lodge,370,St Georges Lodge,,,,,https://onthesquare.co/lodge/st-georges-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey
surrey,craft_lodge,416,Surrey Lodge,,,,,https://onthesquare.co/lodge/surrey-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey
surrey,craft_lodge,452,Frederick Lodge of Unity,,Croydon,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey,,
surrey,craft_lodge,463,Croydon Lodge of Concord,,Croydon,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey,,
surrey,craft_lodge,777,Royal Alfred Lodge,,,,,https://onthesquare.co/lodge/royal-alfred-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey
surrey,craft_lodge,889,Dobie Lodge,,Surbiton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey,,
surrey,craft_lodge,1046,St Andrews Lodge,,,,,https://onthesquare.co/lodge/st-andrews-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey
surrey,craft_lodge,1149,Dorking Lodge,,Dorking,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey,,
surrey,craft_lodge,1347,Lorne Lodge,,,,,https://onthesquare.co/lodge/lorne-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey
surrey,craft_lodge,1362,Royal Albert Edward Lodge,,,,,https://onthesquare.co/lodge/royal-albert-edward-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey
surrey,craft_lodge,1395,Wayside Lodge,,,,,https://onthesquare.co/lodge/wayside-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey
surrey,craft_lodge,1556,Addiscombe Lodge,,Croydon,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey,,
surrey,craft_lodge,1564,Saint Johns Lodge,,,,,https://onthesquare.co/lodge/saint-johns-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey
surrey,craft_lodge,1616,Lodge of Friendship and Harmony,,,,,https://onthesquare.co/lodge/lodge-of-friendship-and-harmony/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey
surrey,craft_lodge,1638,Brownrigg Lodge,,Surbiton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey,,
surrey,craft_lodge,1790,Old England Lodge,,,,,https://onthesquare.co/lodge/old-england-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey
surrey,craft_lodge,1826,Parthenon Lodge,,,,,https://onthesquare.co/lodge/parthenon-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey
surrey,craft_lodge,1861,Claremont Lodge,,Croydon,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey,,
surrey,craft_lodge,1872,St Margarets Lodge,,,,,https://onthesquare.co/lodge/st-margarets-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey
surrey,craft_lodge,1892,Wallington Lodge,,,,,https://onthesquare.co/lodge/wallington-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey
surrey,craft_lodge,1929,Mozart Lodge,,,,,https://onthesquare.co/lodge/mozart-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey
surrey,craft_lodge,1981,Arnold Lodge,,Surbiton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey,,
surrey,craft_lodge,2095,Caterham Lodge,,Redhill,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey,,
surrey,craft_lodge,2096,George Price Lodge,,,,,https://onthesquare.co/lodge/george-price-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey
surrey,craft_lodge,2101,Bramston Beach Lodge,,Godalming,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey,,
surrey,craft_lodge,2120,Abbey Lodge,,Chertsey,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey,,
surrey,craft_lodge,2146,Surbiton Lodge,,,,,https://onthesquare.co/lodge/surbiton-lodge/,,
surrey,craft_lodge,2222,Dormer Lodge,,Surbiton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey,,
surrey,craft_lodge,2234,Onslow Lodge,,,,,https://onthesquare.co/lodge/onslow-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey
surrey,craft_lodge,2246,Cyclist Lodge,,Surbiton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey,,
surrey,craft_lodge,2317,Bisley Lodge,,Godalming,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey,,
surrey,craft_lodge,2422,Ebbisham Lodge,,Croydon,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Surrey,,
