province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
sussex,craft_lodge,38,Lodge of Union,,Chichester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,40,Derwent Lodge,,St Leonards,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,56,Howard Lodge of Brotherly Love,,Littlehampton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,271,Royal Clarence Lodge,,Hove,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,311,South Saxon Lodge,,Lewes,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,315,Royal York Lodge,,Brighton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,341,Wellington Lodge,,Rye,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,732,Royal Brunswick Lodge,,Brighton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,811,Yarborough Lodge,,Brighton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,851,Worthing Lodge of Friendship,,Worthing,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,916,Hartington Lodge,,Eastbourne,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,1110,Tyrian Lodge,,Eastbourne,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,1141,March and Darnley Lodge,,Horsham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,1184,Abbey Lodge,,Battle,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,1303,Pelham Lodge,,Lewes,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,1465,Ockenden Lodge,,Haywards Heath,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,1466,Hova Ecclesia Lodge,,Brighton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,1619,Sackville Lodge,,East Grinstead,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,1636,Saint Cecilia Lodge,,Brighton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,1726,Gordon Lodge,,Bognor Regis,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,1797,South Down Lodge,,Brighton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,1821,Atlingworth Lodge,,Brighton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,1829,Burrell Lodge,,Brighton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,1842,St. Leonards Lodge,,St Leonards,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,1947,Stanford Lodge,,Worthing,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,2434,Anderida Lodge,,Eastbourne,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,2450,Loxfield Lodge,,Uckfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,2483,Hadrian Lodge,,Bexhill,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,2591,St. Mary of the Harbour Lodge,,Worthing,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,2665,Past and Present Lodge,,Brighton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,2676,Royal Connaught Lodge,,Eastbourne,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,2692,Hastings Lodge,,St Leonards,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,2907,Seaford Lodge,,Peacehaven,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,3143,Duke of Richmond Lodge,,Brighton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,3164,Pentalpha Lodge,,Pulborough,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,3277,Homestreu Lodge,,Peacehaven,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,3352,Thomas á Becket Lodge,,Worthing,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
sussex,craft_lodge,3672,Sussex Masters Lodge,,Brighton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Sussex,,
