province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
west_kent,craft_lodge,13,Union Waterloo Lodge,,Dartford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,299,Lodge of Emulation,,Dartford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,615,Saint John and Saint Paul Lodge,,Welling,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,829,Sydney Lodge,,Sidcup,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,874,Holmesdale Lodge,,Tunbridge Wells,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,913,Pattison Lodge,,Welling,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,1107,Cornwallis Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,1223,Amherst Lodge,,Sevenoaks,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,1314,Acacia Lodge,,Welling,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,1422,Beauchamp Lodge,,Wilmington,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,1531,Chislehurst Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,1536,United Military Lodge,,Welling,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,1678,Medway Lodge,,Tunbridge Wells,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,1692,Hervey and Kentish Companions Lodge,,Sidcup,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,1837,Lullingstone Lodge,,Wilmington,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,1973,Saye and Sele Lodge,,Welling,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,2041,West Kent Volunteer Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,2147,Crays Valley Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,2148,Walsingham Lodge,,Wilmington,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,2200,Pantiles Lodge,,Tunbridge Wells,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,2399,Ordnance Lodge,,Welling,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,2499,North Kent Lodge,,Greenhithe,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,2530,Shirley Woolmer Lodge,,Sidcup,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,2948,West Wickham Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,3042,Camden Place Lodge,,Chislehurst,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,3578,Woolwich Polytechnic Lodge,,Welling,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,3601,Sir Edward Clarke Lodge,,Sevenoaks,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,3947,Peace and Concord Lodge,,Sevenoaks,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,3965,Lesney Park Lodge of Erith,,Welling,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,4044,Lakedale Lodge,,Welling,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,4266,Gavelkind Lodge,,Dartford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,4492,Bostall Heath Lodge,,Welling,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,4810,Manor of Bromley Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5008,Pilgrims' Lodge,,Wrotham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5085,John Roan School Lodge,,Welling,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5136,Orpington Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5263,Wells Lodge,,Tunbridge Wells,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5338,Justin Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5435,Petts Wood Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5448,Pickwick Lodge,,Wilmington,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5449,Greenhythe Lodge,,Greenhithe,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5512,Park Langley Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5572,Heritage Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5614,Lamorbey Lodge,,Sidcup,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5701,Kelsey Park Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5731,Hereditary Lodge,,Welling,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5778,West Kent Masters' Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5819,Priory Lodge,,Dartford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5826,Falconwood Lodge,,Sidcup,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5842,Loyalty and Remembrance Lodge,,Sidcup,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5865,Erdemont Lodge,,Dartford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5873,Swanley Lodge,,Dartford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5882,Lodge of Rectitude,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5929,Hayes (Kent) Lodge,,Wrotham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5963,St. John Lodge of Fidelity,,Sidcup,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5976,Welling Lodge,,Sidcup,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,5977,Manor of Bexley Lodge,,Sidcup,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6161,Manor Way Lodge,,Sidcup,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6162,Paddlesworth Lodge,,Wrotham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6206,Loyal Darenth Valley Lodge,,Dartford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6218,St. Martins Barnehurst Lodge,,Welling,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6283,Vale of Beck Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6285,Burnt Ash Lodge,,Sidcup,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6315,Lodge of St. Barnabas,,Welling,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6336,Crayford Lodge,,Dartford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6404,Ravensmead Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6405,Chelsfield Lodge,,Sevenoaks,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6416,Heart of Oak Lodge,,Sidcup,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6417,Seven Stars Lodge,,Dartford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6548,Mountsfield Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6552,Sidcup Lodge,,Sidcup,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6610,Borough of Woolwich Lodge,,Welling,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6668,Lodge of St. Giles and St Luke,,Dartford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6753,Mottingham Lodge,,Sidcup,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6834,Lodge of Equity,,Sidcup,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6868,Lodge of Sincerity,,Dartford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6875,Kemnal Lodge,,Sidcup,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6882,Three Columns of Shrewsbury Park Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,6932,William Sennocke Lodge,,Sevenoaks,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,7048,Fearn Berga Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,7049,Godyngton Lodge,,Bromley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
west_kent,craft_lodge,7129,Old Bexley Lodge,,Wilmington,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_West_Kent,,
