province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url
west_lancashire,craft_lodge,5154,Ashlar Lodge,,Blackpool,Third Friday September to May,October,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,1476,Blackpool Lodge,,Blackpool,Second Tuesday September to May,February,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,7692,Blackpool Lodge of Fellowship,,Blackpool,Second Friday September to April,April,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,5864,Blackpool Lodge of Integrity,,Blackpool,First Tuesday September to May,November,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,6544,Blackpool Lodge of Tranquillity,,Blackpool,Fourth Monday September to May (Except December),October,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,5303,Blackpool Temperance Lodge,,Blackpool,Third Tuesday October to November and February to May. Third Friday December. Third Saturday January,January,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,3967,Brotherhood Lodge,,Blackpool,Second Thursday October to May,October,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,703,Clifton Lodge,,Blackpool,First Thursday September to June (Except January),December,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,6727,Emblem Lodge,,Blackpool,First Friday October to June,February,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,4531,Fraternal Lodge,,Blackpool,Second Monday October to May,March,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,3985,Great Marton Lodge,,Blackpool,First Wednesday October to May,February,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,6360,Mereside Lodge,,Blackpool,First Monday September to April. First Tuesday May,April,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,7916,North Shore Lodge,,Blackpool,Second Wednesday October to May,May,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,3966,Peace and Unity Lodge,,Blackpool,Fourth Friday September to April,March,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,4120,Progress Lodge,,Blackpool,Fourth Tuesday September to April. Second Wednesday December,January,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,4122,Rectitude Lodge of Blackpool,,Blackpool,Third Wednesday September to May,April,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,7563,Saturnian Lodge,,Blackpool,Third Saturday October to May,November,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,2825,St John’ s Lodge,,Blackpool,Fourth Wednesday September to May (Except December). Third Tuesday October,October,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
west_lancashire,craft_lodge,4924,Symphony Lodge,,Blackpool,First Thursday September to May,March,https://westlancsfreemasons.org.uk/about-us/our-lodges/,
