province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url
west_wales,craft_lodge,366,St. David’s,SA73 3JN,,"first Tuesday of every month, except July and August (Installation March)",,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,378,Loyal Welsh,,Pembroke Dock,"2nd Wednesday in February (Installation), 2nd Tuesday in other months, except January, July & August.",,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,464,Cambrian,SA67 7DR,,"Third Wednesday in the month except July, August & September.",,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,476,St. Peter’s,,Carmarthen,third Tuesday in the month,,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,671,Prince of Wales,SA15 3LF,,"2nd Monday September (Installation), October, November, January, February, March, April and 3rd Monday May.",,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,990,Neyland,SA73 1PX,,"2nd Thursday in each month except June, July and August (Installation December)",,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,1072,Aberystwyth,SY23 1DL,,"1st Thursday in January, February, March, April, May, October and November. 1st Friday December (Installation)",,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,1177,Tenby,SA70 7DG,,"last Monday, each month except June, July and August, third Monday December (Installation January)",,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,1748,Castlemartin,,Pembroke Dock,"2nd Tuesday January then 1st Tuesday in each month except July, August and Nov. Installation 1st Wednesday in Nov.",,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,1839,Installation February. Date of Warrant:,,Carmarthen,third Tuesday in the month,,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,1883,Date of Warrant:,SA15 3LF,,"2nd Friday in March (Installation), 4th Friday in June and the 2nd Friday in September.",,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,1919,"Installation October, Date of Warrant:",SA73 3JN,,"3rd Tuesday in the month, except July & August.",,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,1921,Date of Warrant:,,Cardigan,2nd Thursday in the month except June to August,,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,1924,Installation October Date of Warrant:,SA48 7HG,,3rd Thursday in the month from September to May except 4th Thursday in October (Installation March),,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,1948,Date of Warrant:,,Aberaeron,"last Tuesday in September (Installation). 4th Thursday in November, January, February, March and April.",,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,2001,Narberth,SA67 7DR,,1st Friday of each month except July & August (Installation January),,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,3667,Kensington,SA15 3LF,,"2nd Friday in March (Installation), 4th Friday in June and the 2nd Friday in September.",,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,3942,St. Elli,SA15 3LF,,3rd Wednesday of the month except June to September,,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,4331,Old Priory,SA73 3JN,,"3rd Tuesday in the month, except July & August.",,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,4351,Strumble,SA65 9DP,,"2nd Wednesday, except July and August. (Installation October)",,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
west_wales,craft_lodge,4648,Teifi,,Cardigan,2nd Thursday in the month except June to August,,https://www.westwalesfreemasons.org/general-information/craft-lodge-details/,
