province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url
yorkshire_ne,craft_lodge,57,Humber,,Hull,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,123,Lennox Lodge,,Richmond,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,200,Old Globe Lodge,,Scarborough,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,236,York Lodge,,York,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,250,Minerva,,Hull,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,294,Constitutional Lodge,,Beverley,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,312,Lion Lodge,,Whitby,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,543,Cleveland Lodge,,Stokesley,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,561,Zetland,,Guisborough,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,566,St Germain Lodge,,Selby,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,602,North York Lodge,,Middlesbrough,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,630,St Cuthberts,,Howden,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,643,Royal Portus Felix Lodge,,Filey,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,660,Camalodunum Lodge,,Malton,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,734,Londesborough Lodge,,Bridlington,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,1010,Kingston,,Hull,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,1040,Sykes Lodge,,Driffield,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,1244,Marwood Lodge,,Redcar,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,1248,Denison Lodge,,Scarborough,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,1337,Anchor Lodge,,Northallerton,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,1416,Falcon Lodge,,Thirsk,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,1511,Alexandra Lodge,,Hornsea,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,1605,De la Pole,,Hull,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,1611,Eboracum Lodge,,York,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,1618,Handyside Lodge,,Saltburn,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,1760,Leopold Lodge,,Scarborough,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,1848,Ferrum Lodge,,Middlesbrough,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,1991,Agricola Lodge,,York,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,2134,Wilberforce Lodge,,Beverley,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,2328,Albert Victor Lodge,,York,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,2494,Humber Installed Masters,,Hull,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,2586,St Nicholas Lodge,,Scarborough,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,2610,Beresford Peirse Lodge,,Bedale,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,3263,Lord Bolton,,Hull,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,3563,Holderness,,Hull,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,3891,Thesaurus,,Hull,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,3936,Peace Lodge,,Middlesbrough,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,3975,Burlington Lodge,,Bridlington,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,4042,Victory Lodge,,Pickering,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,4244,De Brus Lodge,,Redcar,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
yorkshire_ne,craft_lodge,4362,Beacon Lodge,,Pocklington,,,https://yorkshirenerfreemasons.org.uk/about-us/lodges,
