province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
yorkshire_wr,craft_lodge,61,Lodge of Probity,,Halifax,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,149,Lodge of Peace,,Meltham,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,154,Lodge of Unanimity,,Wakefield,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,208,Lodge of the Three Grand Principles,,Dewsbury,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,242,St. George's Lodge,,Doncaster,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,258,Amphibious Lodge,,Heckmondwike,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,264,Nelson of the Nile Lodge,,Batley,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,265,Royal Yorkshire Lodge,,Keighley,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,275,Lodge of Harmony,,Huddersfield,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,289,Lodge of Fidelity,,Leeds,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,296,Royal Brunswick Lodge,,Sheffield,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,302,Lodge of Hope,,Bradford,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,304,Philanthropic Lodge,,Leeds,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,306,Alfred Lodge,,Otley,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,308,Lodge of Prince George,,Eastwood,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,337,Lodge of Candour,,Uppermill,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,380,Lodge of Integrity,,Morley,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,387,Airedale Lodge,,Baildon,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,401,Royal Forest Lodge,,Waddington,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,408,Lodge of the Three Graces,,Haworth,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,439,Scientific Lodge,,Bingley,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,448,St. James's Lodge,,Halifax,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,458,Aire and Calder Lodge,,Goole,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,495,Wakefield Lodge,,Wakefield,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,521,Lodge of Connaught and Truth,,Huddersfield,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,600,Lodge of St. Peter and Harmony,,Baildon,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,603,Zetland Lodge,,Heckmondwike,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,652,Holme Valley Lodge,,Holmfirth,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,750,Lodge of Friendship,,Cleckheaton,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,810,Craven Lodge,,Skipton,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,827,St. John's Lodge,,Dewsbury,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,837,De Grey and Ripon Lodge,,Ripon,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,904,Phoenix Lodge,,Rotherham,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,910,Saint Oswald Lodge,,Pontefract,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,971,Trafalgar Lodge,,Batley,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,974,Pentalpha Lodge,,Baildon,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,1001,Harrogate and Claro Lodge,,Harrogate,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,1018,Shakespeare and Equity Lodge,,Baildon,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,1019,Lodge of Sincerity,,Wakefield,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,1034,Lodge of Eccleshill,,Baildon,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,1042,Lodge of Excelsior and Prudence,,Leeds,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,1102,Mirfield Lodge,,Mirfield,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,1108,Royal Wharfedale Lodge,,Otley,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,1211,Goderich Lodge,,Leeds,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,1231,Savile Lodge,,West Vale,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,1301,Brighouse Lodge,,Brighouse,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,1311,Zetland Lodge,,Leeds,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,1462,Wharncliffe Lodge,,Penistone,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,1513,Friendly Lodge,,Barnsley,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,1542,Legiolium Lodge,,Castleford,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,1736,St. John's Lodge,,Halifax,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,1779,Ivanhoe Lodge,,Sheffield,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,1783,Albert Edward Lodge,,Huddersfield,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,2035,Beaumont Lodge,,Kirkburton,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
yorkshire_wr,craft_lodge,2091,Castleberg Lodge,,Settle,,,"https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Yorkshire,_West",,
