province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url,ugle_url
durham,,Barnard Castle Masonic Hall,hall,Masonic Hall,Newgate,Barnard Castle,County Durham,DL12 8NJ,England,,,,https://durhamfreemasons.org/venues/barnard-castle-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-newgate
durham,,Billingham Masonic Hall,hall,32 Mill Lane,,Billingham,,TS23 1HF,England,,,,https://durhamfreemasons.org/venues/billingham-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-32-mill-lane
durham,,Birtley Masonic Hall,hall,Birtley Lane,,Birtley,Tyne and Wear,DH3 2PJ,England,,,,https://durhamfreemasons.org/venues/birtley-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-birtley-lane
durham,,Blackhill Masonic Hall,hall,St. Aidan Freemasons Hall,"30 Laburnum Ave, Blackhill",Consett,,DH8 5TB,England,,,,https://durhamfreemasons.org/venues/blackhill-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-freemasons-hall-laburnum-avenue
durham,,Castle Eden Masonic Hall,hall,Stockton Road,,Castle Eden,County Durham,TS27 4SD,England,,,,https://durhamfreemasons.org/venues/castle-eden-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-stockton-road
durham,,Chester-le-Street Masonic Hall,hall,Station Road,,Chester-le-Street,County Durham,DH3 3DU,England,,,,https://durhamfreemasons.org/venues/chester-le-street-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-station-road-0
durham,,Chopwell Masonic Hall,hall,,,Chopwell,,NE17 7HZ,England,,,,https://durhamfreemasons.org/venues/chopwell-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-derwent-street
durham,,Consett Masonic Hall,hall,John St,,Consett,,DH8 5AS,England,,,,https://durhamfreemasons.org/venues/consett-masonic-hall/,
durham,,Crook Masonic Hall,hall,Church Street,,Crook,County Durham,DL15 9BG,England,,,,https://durhamfreemasons.org/venues/crook-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-church-street
durham,,Darlington Masonic Hall,hall,Upper Archer St,,Darlington,,DL3 6LS,England,,,,https://durhamfreemasons.org/venues/darlington-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-freemasons-hall-archer-street
durham,,Dunston Masonic Hall,hall,Holmside Avenue,,Dunston,Tyne and Wear,NE11 9TJ,England,,,,https://durhamfreemasons.org/venues/dunston-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-freemasons-hall-holmside-avenue
durham,,Durham Masonic Hall,hall,36 Old Elvet,,Durham,County Durham,DH1 3HN,England,,,,https://durhamfreemasons.org/venues/durham-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-36-old-elvet
durham,,Ferryhill Masonic Hall,hall,35 North Street,,Ferryhill,County Durham,DL17 8HX,England,,,,https://durhamfreemasons.org/venues/ferryhill-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-chambers-35-north-street
durham,,Gateshead Masonic Hall,hall,Alexandra Road,,Gateshead,Tyne and Wear,NE8 1RB,England,,,,https://durhamfreemasons.org/venues/gateshead-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-alexandra-road
durham,,Hartlepool Raby Masonic Hall,hall,Raby Road,,Hartlepool,,TS24 8AH,England,,,,https://durhamfreemasons.org/venues/hartlepool-raby-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-raby-road
durham,,Harton Masonic Hall,hall,Sunderland Road,,South Shields,,NE34 6AS,England,,,,https://durhamfreemasons.org/venues/harton-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-harton-masonic-hall-sunderland-road
durham,,Hetton-le-Hole Masonic Hall,hall,Hetton-le-Hole,,Houghton le Spring,,DH5 9JB,England,,,,https://durhamfreemasons.org/venues/hetton-le-hole-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-hetton-masonic-hall-station-road
durham,,Jarrow Masonic Hall,hall,Grange Road,,Jarrow,Tyne and Wear,NE32 3LD,England,,,,https://durhamfreemasons.org/venues/jarrow-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-grange-road
durham,lumley-castle-hall-masonic-hall-chester-le-street,Lumley Castle Hotel,hotel,Lumley Castle Hotel,Ropery Ln,Chester-le-Street,,DH3 4NX,England,,,,https://durhamfreemasons.org/venues/lumley-castle-hall-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-lumley-castle-hotel-ropery-ln
durham,,Middleton-in-Teesdale Masonic Hall,hall,Southview,,Middleton-in-Teesdale,County Durham,DL12 0SH,England,,,,https://durhamfreemasons.org/venues/middleton-in-teesdale/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-southview
durham,,Penshaw Masonic Hall,hall,,,Shiney Row,County Durham,DH4 7LQ,England,,,,https://durhamfreemasons.org/venues/penshaw-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-station-road
durham,,Queen Street Masonic Hall,hall,Queen Street East,,Sunderland,Tyne and Wear,SR1 2HT,England,,,,https://durhamfreemasons.org/venues/queen-street-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-freemasons-hall-queen-street-east
