province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url,ugle_url
northumberland,,Alnwick Masonic Hall,hall,Prudhoe Street,,Alnwick,Northumberland,NE66 1UW,England,,,,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-northumberland-masonic-hall-prudhoe-street
northumberland,,Amble Masonic Hall,hall,Gloster Terrace,,Amble,Northumberland,NE65 0LN,England,,,,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-northumberland-masonic-hall-gloster-terrace
northumberland,,Ashington Masonic Hall,hall,John Street,,Ashington,Northumberland,NE63 0SE,England,,,,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-northumberland-masonic-hall-john-street
northumberland,,Bedlington Masonic Hall,hall,Hartford Road West,,Bedlington,Northumberland,NE22 6HU,England,,,,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-northumberland-masonic-hall-hartford-road-west
northumberland,,Bellingham Masonic Hall,hall,Manchester Square,,Bellingham,Northumberland,NE48 2BN,England,,,,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-northumberland-masonic-hall-manchester-square
northumberland,,Berwick Masonic Hall,hall,Church Street,,Berwick upon Tweed,Northumberland,TD15 1EE,England,,,,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-northumberland-masonic-hall-church-street
northumberland,,Blyth Masonic Hall,hall,Beaconsfield Street,,Blyth,Northumberland,NE24 2DR,England,,,,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-northumberland-masonic-hall-beaconsfield-street
northumberland,,Byker Masonic Hall,hall,Corbridge Road,,Newcastle upon Tyne,,NE6 1HY,England,,,,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-northumberland-freemasons-hall-corbridge-road
northumberland,,Cramlington Masonic Hall,hall,School Road,,Cramlington,Northumberland,NE23 1DN,England,,,,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-northumberland-masonic-hall-school-lane
northumberland,,Jesmond Masonic Hall,hall,Fern Avenue,Jesmond,Newcastle upon Tyne,,NE2 2RA,England,,,,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-northumberland-masonic-hall-75-83-fern-avenue
