province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url,ugle_url
berkshire,,"Berkshire Masonic Centre, Sindlesham",hall,Berkshire Masonic Centre,Mole Road,Sindlesham,,RG41 5EA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-berkshire-masonic-centre-mole-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-berkshire-masonic-centre-mole-road
berkshire,,"De Vere Hotel, Old Windsor",hotel,De Vere Hotel,Beaumont Estate,Old Windsor,,SL4 2JJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-de-vere-hotel-beaumont-estate,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-de-vere-hotel-beaumont-estate
berkshire,,Faringdon Masonic Hall,hall,Gloucester Street,,Faringdon,,SN7 7HY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-masonic-hall-gloucester-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-masonic-hall-gloucester-street
berkshire,,Maidenhead Golf Club,club,Maidenhead Golf Club,Shoppenhangers Road,Maidenhead,,SL6 2PZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-maidenhead-golf-club-shoppenhangers-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-maidenhead-golf-club-shoppenhangers-road
berkshire,,Newbury Masonic Hall,hall,Clarendon Gardens,,Newbury,,RG14 1JN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-masonic-hall-clarendon-gardens,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-masonic-hall-clarendon-gardens
berkshire,,"Pangbourne Masonic Centre, Reading",hall,Pangbourne Masonic Centre,27 Shooter's Hill,Reading,,RG8 7DZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-pangbourne-masonic-centre-27-shooters-hill,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-pangbourne-masonic-centre-27-shooters-hill
berkshire,,"Parish Hall, Aldermaston",other,Parish Hall,The Street,Aldermaston,,RG7 4LW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-parish-hall-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-parish-hall-street
berkshire,,"The Guildhall, Abingdon",other,The Guildhall,Council Chamber,Abingdon,,OX14 3HL,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-guildhall-council-chamber,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-guildhall-council-chamber
berkshire,,"The Marlborough Club, Didcot",club,The Marlborough Club,227 Broadway,Didcot,,OX11 8RU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-marlborough-club-227-broadway,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-marlborough-club-227-broadway
berkshire,,"The Mill House Hotel, Wokingham",hotel,The Mill House Hotel,Basingstoke Road,Wokingham,,RG7 1PY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-mill-house-hotel-basingstoke-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-berkshire-mill-house-hotel-basingstoke-road
