province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url
buckinghamshire,,"Anchor Trust (LVNH), Denham",other,Anchor Trust (LVNH),Ashmead Lane,Denham,,UB9 5LB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-buckinghamshire-anchor-trust-lvnh-ashmead-lane
buckinghamshire,,Aylesbury Masonic Hall,hall,Ripon Street,,Aylesbury,,HP20 2PJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-buckinghamshire-masonic-hall-ripon-street
buckinghamshire,,Beaconsfield Masonic Centre,hall,Beaconsfield Masonic Centre,Windsor End,Beaconsfield,,HP9 2JW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-buckinghamshire-beaconsfield-masonic-centre-windsor-end
buckinghamshire,,"Eliot Hall, Winslow",other,Eliot Hall,Church Street,Winslow,,MK18 3AN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-buckinghamshire-eliot-hall-church-street
buckinghamshire,,"Horwood House, Milton Keynes",other,Horwood House,Mursley Road,Milton Keynes,,MK17 0PH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-buckinghamshire-horwood-house-mursley-road
buckinghamshire,,Marlow Masonic Centre,hall,St Peter Street,,Marlow,,SL7 1NQ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-buckinghamshire-masonic-centre-st-peter-street
buckinghamshire,,Milton Keynes Masonic Hall,hall,Queensway,,Milton Keynes,,MK2 2BZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-buckinghamshire-masonic-hall-queensway
buckinghamshire,,Slough Masonic Centre,hall,Ragstone Road,,Slough,,SL1 2PX,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-buckinghamshire-masonic-centre-ragstone-road
buckinghamshire,,"St Giles' Parish Rooms, Stony Stratford",other,St Giles' Parish Rooms,New Street,Stony Stratford,,MK11 1BW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-buckinghamshire-st-giles-parish-rooms-new-street
buckinghamshire,,"Stewart Hall, Aylesbury",other,Stewart Hall,Station Road,Aylesbury,,HP17 0XN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-buckinghamshire-stewart-hall-station-road
buckinghamshire,,"Swan Revived Hotel, Milton Keynes",hotel,Swan Revived Hotel,High Street,Milton Keynes,,MK16 8AR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-buckinghamshire-swan-revived-hotel-high-street
buckinghamshire,,Thame Masonic Hall,hall,14 High Street,,Thame,,OX9 2BZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-buckinghamshire-masonic-hall-14-high-street
buckinghamshire,,"The North Crawley Institute, Newport Pagnall",other,The North Crawley Institute,High Street,Newport Pagnall,,MK16 9LH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-buckinghamshire-north-crawley-institute-high-street
buckinghamshire,,"Village Hall, Penn",other,Village Hall,Tylers Green,Penn,,HP10 8LN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-buckinghamshire-village-hall-tylers-green
buckinghamshire,,Wolverton Masonic Hall,hall,22 The Square,,Wolverton,,MK12 5DG,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-buckinghamshire-masonic-hall-22-square
buckinghamshire,,"Yeomanry Hall, Buckingham",other,Yeomanry Hall,Buckingham University,Buckingham,,MK18 1DB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-buckinghamshire-yeomanry-hall-buckingham-university
