province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url
cheshire,,"Acton Parish Hall, Nantwich",other,Acton Parish Hall,Chester Road,Nantwich,,CW5 8LD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cheshire-acton-parish-hall-chester-road
cheshire,,Altrincham Masonic Hall,hall,36 Clay Lane,,Altrincham,,WA15 7AB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cheshire-masonic-hall-36-clay-lane
cheshire,,Birkenhead Masonic Temple,hall,Clifton Road,,Birkenhead,,CH41 2SF,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cheshire-masonic-temple-clifton-road
cheshire,,Chester Freemasons' Hall (Plough Lane),hall,Plough Lane,,Chester,,CH3 7PT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cheshire-freemasons-hall-plough-lane
cheshire,,Chester Freemasons' Hall (Queen Street),hall,Queen Street,,Chester,,CH1 3LG,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cheshire-freemasons-hall-queen-street
cheshire,,Congleton Masonic Hall,hall,Mill Street,,Congleton,,CW12 1AG,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cheshire-masonic-hall-mill-street
cheshire,,Dukinfield Masonic Hall,hall,62 Old Road,,Dukinfield,,SK16 4EN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cheshire-masonic-hall-62-old-road
cheshire,,"Hartford Golf Club, Northwich",club,Hartford Golf Club,Burrows Hill,Northwich,,CW8 3AA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cheshire-hartford-golf-club-burrows-hill
cheshire,,Hoylake Conservative Club,club,Hoylake Conservative Club,The Grange,Hoylake,,CH47 4AN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cheshire-hoylake-conservative-club-grange
cheshire,,"Hulme Hall, Port Sunlight Village",other,Hulme Hall,Bolton Road,Port Sunlight Village,,CH62 5DH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cheshire-hulme-hall-bolton-road
