province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url,ugle_url
cornwall,,Bodmin Masonic Hall,hall,St Nicholas Street,,Bodmin,,PL31 1AG,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-masonic-hall-st-nicholas-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-masonic-hall-st-nicholas-street
cornwall,,Bude Masonic Hall,hall,Black Lane,,Bude,,EX23 8LA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-masonic-hall-black-lane,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-masonic-hall-black-lane
cornwall,,Callington Masonic Hall,hall,Tavistock Road,,Callington,,PL17 7BG,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-masonic-hall-tavistock-road-0,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-masonic-hall-tavistock-road-0
cornwall,,Calstock Masonic Hall,hall,,,Calstock,,PL18 9QX,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-masonic-hall-0,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-masonic-hall-0
cornwall,,Camborne Masonic Hall,hall,Cross Street,,Camborne,,TR14 8EX,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-masonic-hall-cross-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-masonic-hall-cross-street
cornwall,,East Looe Masonic Hall,hall,Tower Hill,,East Looe,,PL13 1DD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-masonic-hall-tower-hill,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-masonic-hall-tower-hill
cornwall,,Falmouth Masonic Hall,hall,Church Street,,Falmouth,,TR11 3DR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-masonic-hall-church-street-0,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-masonic-hall-church-street-0
cornwall,,Hayle Freemasons Hall,hall,Foundry Square,,Hayle,,TR27 4AE,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-freemasons-hall-foundry-square,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-freemasons-hall-foundry-square
cornwall,,Helston Masonic Hall,hall,Cross Street,,Helston,,TR13 8NG,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-masonic-hall-cross-street-0,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-masonic-hall-cross-street-0
cornwall,,"King Arthurs Hall, Tintagel",other,King Arthurs Hall,Fore Street,Tintagel,,PL34 0DA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-king-arthurs-hall-fore-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cornwall-king-arthurs-hall-fore-street
