province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url
cumberland_westmorland,,Alston Masonic Hall,hall,Front Street,,Alston,,CA9 3JF,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cumberland-and-westmorland-masonic-hall-front-street
cumberland_westmorland,,Appleby-in-Westmorland Masonic Hall,hall,Boroughgate,,Appleby-in-Westmorland,,CA16 6XG,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cumberland-and-westmorland-masonic-hall-boroughgate
cumberland_westmorland,,Aspatria Masonic Hall,hall,Temple Terrace,,Aspatria,,CA7 3BH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cumberland-and-westmorland-masonic-hall-temple-terrace
cumberland_westmorland,,Carlisle Masonic Hall,hall,10 Portland Square,,Carlisle,,CA1 1PY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cumberland-and-westmorland-masonic-hall-10-portland-square
cumberland_westmorland,,Carnforth Masonic Rooms,hall,7 Fairbank,,Carnforth,,LA6 2BD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cumberland-and-westmorland-masonic-rooms-7-fairbank
cumberland_westmorland,,"Civic Hall and Masonic Centre, Cleator Moor",hall,Civic Hall and Masonic Centre,Market Square,Cleator Moor,,CA25 5AR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cumberland-and-westmorland-civic-hall-and-masonic-centre-market-square
cumberland_westmorland,,Cleator Masonic Hall,hall,Trumpet Road,,Cleator,,CA23 3EH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cumberland-and-westmorland-masonic-hall-trumpet-road
cumberland_westmorland,,Cleator Moor Masonic Hall,hall,Market Street,,Cleator Moor,,CA25 5AS,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cumberland-and-westmorland-masonic-hall-market-street
cumberland_westmorland,,Cockermouth Masonic Hall,hall,Challoner Street,,Cockermouth,,CA13 9QS,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cumberland-and-westmorland-masonic-hall-challoner-street
cumberland_westmorland,,Dalston Masonic Hall,hall,Near Nestles,,Dalston,,CA5 7NH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cumberland-and-westmorland-masonic-hall-near-nestles
cumberland_westmorland,,Egremont Masonic Hall,hall,Bookwell,,Egremont,,CA22 2LS,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cumberland-and-westmorland-masonic-hall-bookwell
cumberland_westmorland,,"Hillard Rooms, Ambleside",other,Hillard Rooms,Kelsick Road,Ambleside,,LA22 0BZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cumberland-and-westmorland-hillard-rooms-kelsick-road
cumberland_westmorland,,Kendal Masonic Hall,hall,Station Road,,Kendal,,LA9 6BT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cumberland-and-westmorland-masonic-hall-station-road
cumberland_westmorland,,Keswick Masonic Hall,hall,St John Street,,Keswick,,CA12 5AP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cumberland-and-westmorland-masonic-hall-st-john-street
cumberland_westmorland,,Kirkby Stephen Masonic Hall,hall,North Road,,Kirkby Stephen,,CA17 4RH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-cumberland-and-westmorland-masonic-hall-north-road
