province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url,ugle_url
derbyshire,,Alfreton Masonic Hall,hall,Derby Road,,Alfreton,,DE55 7AQ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-derby-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-derby-road
derbyshire,,Ashbourne Masonic Hall,hall,Cockayne Avenue,,Ashbourne,,DE6 1EJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-cockayne-avenue,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-cockayne-avenue
derbyshire,,Belper Masonic Hall (1 Campbell Street),hall,Belper Masonic Hall,1 Campbell Street,Belper,,DE56 1AP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-belper-masonic-hall-1-campbell-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-belper-masonic-hall-1-campbell-street
derbyshire,,Belper Masonic Hall (King Street),hall,King Street,,Belper,,DE56 4EU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-king-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-king-street
derbyshire,,Burton-on-Trent Freemasons' Hall,hall,218 Ashby Road,,Burton-on-Trent,,DE15 0LA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-freemasons-hall-218-ashby-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-freemasons-hall-218-ashby-road
derbyshire,,Buxton Masonic Hall,hall,Old Court House,,Buxton,,SK17 6AY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-old-court-house,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-old-court-house
derbyshire,,Chesterfield Masonic Hall,hall,72 Saltergate,,Chesterfield,,S40 1JR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-72-saltergate,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-72-saltergate
derbyshire,,Derby Masonic Hall,hall,457 Burton Road,,Derby,,DE23 6XX,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-457-burton-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-457-burton-road
derbyshire,,"Dore Masonic Hall, Sheffield",hall,Dore Masonic Hall,Woodland View,Sheffield,,S17 3LA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-dore-masonic-hall-woodland-view,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-dore-masonic-hall-woodland-view
derbyshire,,Glossop Masonic Hall,hall,14 Henry Street,,Glossop,,SK13 8BW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-14-henry-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-14-henry-street
derbyshire,,High Peak Masonic Hall,hall,Union Road,,High Peak,,SK22 3ES,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-union-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-union-road
derbyshire,,Ilkeston Masonic Hall,hall,High Street,,Ilkeston,,DE7 5JA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-high-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-high-street
derbyshire,,Long Eaton Masonic Hall,hall,Elm Avenue,,Long Eaton,,NG10 4LR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-elm-avenue,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-masonic-hall-elm-avenue
derbyshire,,"Moot Hall, Wirksworth",other,Moot Hall,Chapel Lane,Wirksworth,,DE4 4FF,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-moot-hall-chapel-lane,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-derbyshire-moot-hall-chapel-lane
