province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url
devonshire,,"4 Well Street, Torrington",other,4 Well Street,,Torrington,,EX38 8EP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-devonshire-4-well-street
devonshire,,Ashburton Masonic Hall,hall,Chudley Road,,Ashburton,,TQ13 7DH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-devonshire-masonic-hall-chudley-road
devonshire,,Axminster Masonic Hall,hall,South Street,,Axminster,,EX13 5AD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-devonshire-masonic-hall-south-street-0
devonshire,,Barnstaple Masonic Hall,hall,4 Trafalgar Lawn,,Barnstaple,,EX32 9BD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-devonshire-masonic-hall-4-trafalgar-lawn
devonshire,,Bideford Masonic Hall,hall,12 Bridgeland Street,,Bideford,,EX39 2QE,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-devonshire-masonic-hall-12-bridgeland-street
devonshire,,Braunton Masonic Hall,hall,Ilfracombe Road,,Braunton,,EX33 2ER,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-devonshire-masonic-hall-ilfracombe-road
devonshire,,Brixham Masonic Hall,hall,Church Street,,Brixham,,TQ5 8HG,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-devonshire-masonic-hall-church-street
devonshire,,Budleigh Salterton Masonic Hall,hall,1 West Hill,,Budleigh Salterton,,EX9 6BW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-devonshire-masonic-hall-1-west-hill
devonshire,,Crediton Masonic Hall,hall,Union Road,,Crediton,,EX17 3AW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-devonshire-masonic-hall-union-road
devonshire,,"Davie Masonic Hall, Plymouth",hall,Davie Masonic Hall,Clifton Place,Plymouth,,PL4 8HY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-devonshire-davie-masonic-hall-clifton-place
devonshire,,Dawlish Masonic Hall,hall,Barton Terrace,,Dawlish,,EX7 9QH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-devonshire-masonic-hall-barton-terrace
devonshire,,Exeter Freemasons' Hall (27A Gandy Street),hall,27A Gandy Street,,Exeter,,EX4 3LS,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-devonshire-freemasons-hall-27a-gandy-street
devonshire,,Exeter Freemasons' Hall (Victoria Road),hall,Victoria Road,,Exeter,,EX3 0EU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-devonshire-freemasons-hall-victoria-road
devonshire,,Exmouth Masonic Hall,hall,3 St Andrew's Road,,Exmouth,,EX8 1AP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-devonshire-masonic-hall-3-st-andrews-road
devonshire,,"Hauley Masonic Hall, Dartmouth",hall,Hauley Masonic Hall,Lower Street,Dartmouth,,TQ6 9AJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-devonshire-hauley-masonic-hall-lower-street
devonshire,,Holsworthy Freemasons' Hall,hall,Bodmin Street,,Holsworthy,,EX22 6BH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-devonshire-freemasons-hall-bodmin-street
devonshire,,Honiton Masonic Hall,hall,Northcote Lane,,Honiton,,EX14 1NP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-devonshire-masonic-hall-northcote-lane
