province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url,ugle_url
dorset,,Beaminster Masonic Hall,hall,Beaminster Masonic Hall,Bridport Road,Beaminster,,DT8 3LU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-beaminster-masonic-hall-bridport-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-beaminster-masonic-hall-bridport-road
dorset,,"Blandford Masonic Hall, Blandford Forum",hall,Blandford Masonic Hall,27 West Street,Blandford Forum,,DT11 7AW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-blandford-masonic-hall-27-west-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-blandford-masonic-hall-27-west-street
dorset,,"Branksome Masonic Hall, Poole",hall,Branksome Masonic Hall,57 Ashley Road,Poole,,BH14 9BT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-branksome-masonic-hall-57-ashley-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-branksome-masonic-hall-57-ashley-road
dorset,,Bridport Masonic Hall,hall,Bridport Masonic Hall,124 East Street,Bridport,,DT6 3LW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-bridport-masonic-hall-124-east-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-bridport-masonic-hall-124-east-street
dorset,,Dorchester Masonic Hall,hall,Dorchester Masonic Hall,Alington Street,Dorchester,,DT1 1TR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-dorchester-masonic-hall-alington-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-dorchester-masonic-hall-alington-street
dorset,,Gillingham Masonic Hall,hall,Gillingham Masonic Hall,Station Road,Gillingham,,SP8 4PY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-gillingham-masonic-hall-station-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-gillingham-masonic-hall-station-road
dorset,,"Kinson Masonic Hall, Bournemouth",hall,Kinson Masonic Hall,Ferncroft Road,Bournemouth,,BH10 6BY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-kinson-masonic-hall-ferncroft-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-kinson-masonic-hall-ferncroft-road
dorset,,Lyme Regis Masonic Hall,hall,Lyme Regis Masonic Hall,Broad Street,Lyme Regis,,DT7 3QE,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-lyme-regis-masonic-hall-broad-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-lyme-regis-masonic-hall-broad-street
dorset,,Poole Masonic Hall,hall,Poole Masonic Hall,4 Market Close,Poole,,BH15 1NQ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-poole-masonic-hall-4-market-close,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-poole-masonic-hall-4-market-close
dorset,,Portland Masonic Hall,hall,1 Victoria Square,,Portland,,DT5 1AL,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-masonic-hall-1-victoria-square,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-dorset-masonic-hall-1-victoria-square
