province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url
east_lancashire,,Accrington Masonic Hall,hall,Accrington Masonic Hall,Adelaide Street,Accrington,,BB5 2EA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-accrington-masonic-hall-adelaide-street
east_lancashire,,Ashton-under-Lyne Masonic Hall,hall,Ashton-under-Lyne Masonic Hall,Albert House,Ashton-under-Lyne,,OL7 0BE,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-ashton-under-lyne-masonic-hall-albert-house
east_lancashire,,Audenshaw Masonic Hall,hall,Audenshaw Masonic Hall,Stanley House,Audenshaw,,M34 5GB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-audenshaw-masonic-hall-stanley-house
east_lancashire,,Bacup Masonic Hall,hall,Bacup Masonic Hall,Holmroyd,Bacup,,OL13 8DB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-bacup-masonic-hall-holmroyd
east_lancashire,,Bolton Masonic Hall,hall,Bolton Masonic Hall,Institute Street,Bolton,,BL1 1PZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-bolton-masonic-hall-institute-street
east_lancashire,,Bolton School,school,Bolton School,Chorley New Road,Bolton,,BL1 4PB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-bolton-school-chorley-new-road
east_lancashire,,Burnley Masonic Hall,hall,Burnley Masonic Hall,Nelson House,Burnley,,BB11 1LA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-burnley-masonic-hall-nelson-house
east_lancashire,,Bury Masonic Hall,hall,Bury Masonic Hall,Parson's Lane,Bury,,BL9 0LY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-bury-masonic-hall-parsons-lane
east_lancashire,,Clayton-le-Moors Masonic Hall,hall,Clayton-le-Moors Masonic Hall,Mill House,Clayton-le-Moors,,BB5 5HX,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-clayton-le-moors-masonic-hall-mill-house
east_lancashire,,Clitheroe Masonic Rooms,hall,Clitheroe Conservative Club,,Clitheroe,,BB7 2BT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-masonic-rooms-clitheroe-conservative-club
east_lancashire,,Colne Masonic Hall,hall,Colne Masonic Hall,91 Albert Road,Colne,,BB8 0BS,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-colne-masonic-hall-91-albert-road
east_lancashire,,"Cotton Rooms, Oldham",other,Cotton Rooms,5 Rock Street,Oldham,,OL1 3UJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-cotton-rooms-5-rock-street
east_lancashire,,Darwen Masonic Hall,hall,Darwen Masonic Hall,Hawkshaw Avenue,Darwen,,BB3 1QZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-darwen-masonic-hall-hawkshaw-avenue
east_lancashire,,Manchester Freemasons' Hall,hall,36 Bridge Street,,Manchester,,M3 3BT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-freemasons-hall-36-bridge-street
east_lancashire,,Middleton Masonic Hall,hall,Middleton Masonic Hall,The Pavilion,Middleton,,M24 4DY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-middleton-masonic-hall-pavilion
east_lancashire,,Mossley Freemasons' Hall,hall,Mossley Freemasons' Hall,Westholme,Mossley,,OL5 0RB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-mossley-freemasons-hall-westholme
east_lancashire,,Padiham Masonic Hall,hall,Padiham Masonic Hall,22 Moor Lane,Padiham,,BB12 8LZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-padiham-masonic-hall-22-moor-lane
east_lancashire,,"Radcliffe Masonic Hall, Breightmet",hall,Radcliffe Masonic Hall,110 Bury New Road,Breightmet,,BL2 6QU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-radcliffe-masonic-hall-110-bury-new-road
east_lancashire,,Rochdale Masonic Hall,hall,Rochdale Masonic Hall,2 Richard Street,Rochdale,,OL11 1DU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-rochdale-masonic-hall-2-richard-street
east_lancashire,,"Rossendale Masonic Hall, Rawtenstall",hall,Rossendale Masonic Hall,Ashday Lea,Rawtenstall,,BB4 6QX,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-rossendale-masonic-hall-ashday-lea
east_lancashire,,Salford Masonic Hall,hall,Salford Masonic Hall,Hemsley House,Salford,,M5 4PE,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-salford-masonic-hall-hemsley-house
east_lancashire,,Shaw Masonic Hall,hall,Shaw Masonic Hall,The Gables,Shaw,,OL2 7AJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-shaw-masonic-hall-gables
east_lancashire,,Todmorden Masonic Hall,hall,Todmorden Masonic Hall,White Hart Fold,Todmorden,,OL14 7BD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-todmorden-masonic-hall-white-hart-fold
east_lancashire,,Whalley Masonic Hall,hall,Whalley Masonic Hall,Union Club,Whalley,,BB7 9TD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-east-lancashire-whalley-masonic-hall-union-club
