province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url,ugle_url
gloucestershire,,Avonmouth Masonic Hall,hall,Portview Road,,Avonmouth,,BS11 9JE,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-masonic-hall-portview-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-masonic-hall-portview-road
gloucestershire,,"Bells Hotel, Coleford",hotel,Bells Hotel,Lords Hill,Coleford,,GL16 8BE,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-bells-hotel-lords-hill,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-bells-hotel-lords-hill
gloucestershire,,Berkeley Arms Hotel,hotel,Berkeley Arms Hotel,Canonbury Street,Berkeley,,GL13 9BG,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-berkeley-arms-hotel-canonbury-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-berkeley-arms-hotel-canonbury-street
gloucestershire,,Cheltenham Masonic Hall,hall,2 Portland Street,,Cheltenham,,GL52 2PB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-masonic-hall-2-portland-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-masonic-hall-2-portland-street
gloucestershire,,Chipping Campden Masonic Hall,hall,High Street,,Chipping Campden,,GL55 6HB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-masonic-hall-high-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-masonic-hall-high-street
gloucestershire,,Chipping Sodbury Masonic Hall,hall,Hatters Lane,,Chipping Sodbury,,BS37 6AA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-masonic-hall-hatters-lane,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-masonic-hall-hatters-lane
gloucestershire,,Cirencester Masonic Hall,hall,The Avenue,,Cirencester,,GL7 1EH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-masonic-hall-avenue,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-masonic-hall-avenue
gloucestershire,,Downend Masonic Hall,hall,Downend Masonic Hall,Shrubbery Road,Downend,,BS16 5TB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-downend-masonic-hall-shrubbery-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-downend-masonic-hall-shrubbery-road
gloucestershire,,Gloucester Masonic Hall,hall,Cross Keys Lane,,Gloucester,,GL1 2HQ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-masonic-hall-cross-keys-lane,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-masonic-hall-cross-keys-lane
gloucestershire,,"Kingshill House, Dursley",other,Kingshill House,Kingshill Lane,Dursley,,GL11 4BZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-kingshill-house-kingshill-lane,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-gloucestershire-kingshill-house-kingshill-lane
