province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url,ugle_url
hertfordshire,,"Ashwell House, St Albans",other,Ashwell House,167 Verulam Road,St Albans,,AL3 4DW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-ashwell-house-167-verulam-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-ashwell-house-167-verulam-road
hertfordshire,,Berkhamsted School,school,Berkhamsted School,Castle Campus,Berkhamsted,,HP4 3BG,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-berkhamsted-school-castle-campus,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-berkhamsted-school-castle-campus
hertfordshire,,"Dyrham Park Country Club, Barnet",club,Dyrham Park Country Club,Galley Lane,Barnet,,EN5 4RA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-dyrham-park-country-club-galley-lane,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-dyrham-park-country-club-galley-lane
hertfordshire,,"Eric Morcombe Centre, Harpenden",other,Eric Morcombe Centre,21 Leyton Road,Harpenden,,AL5 2FR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-eric-morcombe-centre-21-leyton-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-eric-morcombe-centre-21-leyton-road
hertfordshire,,"Halsey Masonic Hall, Cheshunt",hall,Halsey Masonic Hall,Walnut Tree House,Cheshunt,,EN8 8NJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-halsey-masonic-hall-walnut-tree-house,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-halsey-masonic-hall-walnut-tree-house
hertfordshire,,"Halsey Masonic Hall, Watford",hall,Halsey Masonic Hall,Rickmansworth Road,Watford,,WD18 0JE,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-halsey-masonic-hall-rickmansworth-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-halsey-masonic-hall-rickmansworth-road
hertfordshire,,"Hartsbourne Country Club, Bushey Heath",club,Hartsbourne Country Club,Hartsbourne Avenue,Bushey Heath,,WD23 1JW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-hartsbourne-country-club-hartsbourne-avenue,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-hartsbourne-country-club-hartsbourne-avenue
hertfordshire,,"Mayflower Place, Hertford",other,Mayflower Place,,Hertford,,SG14 2LH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-mayflower-place,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-mayflower-place
hertfordshire,,Radlett Masonic Hall,hall,The Rose Walk,,Radlett,,WD7 7JS,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-masonic-hall-rose-walk,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-masonic-hall-rose-walk
hertfordshire,,Royston Masonic Hall,hall,Royston Masonic Hall,Jepps Lane,Royston,,SG8 9AP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-royston-masonic-hall-jepps-lane,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-royston-masonic-hall-jepps-lane
hertfordshire,,Sawbridgeworth Masonic Hall,hall,Vantorts Road,,Sawbridgeworth,,CM21 9AJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-masonic-hall-vantorts-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-masonic-hall-vantorts-road
hertfordshire,,"The Cloisters, Letchworth",other,The Cloisters,Barrington Road,Letchworth,,SG6 3TH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-cloisters-barrington-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-cloisters-barrington-road
hertfordshire,,The Hertford Club,club,The Hertford Club,Lombard House,Hertford,,SG14 1DT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-hertford-club-lombard-house,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-hertford-club-lombard-house
hertfordshire,,"The Town Hall, Berkhamsted",other,The Town Hall,196 High Street,Berkhamsted,,HP4 3AP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-town-hall-196-high-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-hertfordshire-town-hall-196-high-street
