province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url,ugle_url
lincolnshire,,Alford Masonic Hall,hall,Chapel Lane,,Alford,,LN13 9DP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-chapel-lane,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-chapel-lane
lincolnshire,,Barton-on-Humber Masonic Hall,hall,Brigg Road,,Barton-on-Humber,,DN18 5DH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-brigg-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-brigg-road
lincolnshire,,Boston Masonic Hall,hall,Main Ridge,,Boston,,PE21 6QQ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-main-ridge,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-main-ridge
lincolnshire,,Bourne Masonic Centre,hall,1-2 Roman Bank,,Bourne,,PE10 9LQ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-centre-1-2-roman-bank,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-centre-1-2-roman-bank
lincolnshire,,Brigg Masonic Rooms,hall,Cary Lane,,Brigg,,DN20 8ES,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-rooms-cary-lane,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-rooms-cary-lane
lincolnshire,,Cleethorpes Masonic Hall,hall,1 King's Road,,Cleethorpes,,DN35 0AJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-1-kings-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-1-kings-road
lincolnshire,,Crowle Masonic Hall,hall,Park View Estate,,Crowle,,DN17 4JA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-park-view-estate,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-park-view-estate
lincolnshire,,Deeping St James Masonic Hall,hall,New Row,,Deeping St James,,PE6 8HA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-new-row,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-new-row
lincolnshire,,Gainsborough Masonic Temple,hall,32 North Marsh Road,,Gainsborough,,DN21 2RR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-temple-32-north-marsh-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-temple-32-north-marsh-road
lincolnshire,,Grantham Masonic Hall,hall,Faraday House,,Grantham,,NG31 8BL,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-faraday-house,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-faraday-house
lincolnshire,,Grimsby Masonic Hall,hall,Cambridge Road,,Grimsby,,DN34 5SZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-cambridge-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-cambridge-road
lincolnshire,,Horncastle Masonic Hall,hall,Banks Street,,Horncastle,,LN9 5BW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-banks-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-banks-street
lincolnshire,,Lincoln Masonic Centre,hall,Lincoln Masonic Centre,116 Nettleham Road,Lincoln,,LN2 1RR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-lincoln-masonic-centre-116-nettleham-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-lincoln-masonic-centre-116-nettleham-road
lincolnshire,,Long Sutton Masonic Hall,hall,Park Lane,,Long Sutton,,PE12 9DH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-park-lane,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-park-lane
lincolnshire,,Louth Masonic Centre,hall,Bolingbroke Road,,Louth,,LN11 0WA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-centre-bolingbroke-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-centre-bolingbroke-road
lincolnshire,,Market Rasen Masonic Hall,hall,Jameson Bridge Street,,Market Rasen,,LN8 3EW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-jameson-bridge-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-jameson-bridge-street
lincolnshire,,Scunthorpe Masonic Hall,hall,Normanby Road,,Scunthorpe,,DN15 6AJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-normanby-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-normanby-road
lincolnshire,,Skegness Masonic Hall,hall,Holly Road,,Skegness,,PE25 3TE,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-holly-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-holly-road
lincolnshire,,Sleaford Masonic Rooms,hall,8 Watergate,,Sleaford,,NG34 7PG,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-rooms-8-watergate,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-rooms-8-watergate
lincolnshire,,Spalding Masonic Hall,hall,Pinchbeck Road,,Spalding,,PE11 1QD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-pinchbeck-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-pinchbeck-road
lincolnshire,,Spilsby Masonic Hall,hall,Halton Road,,Spilsby,,PE23 5JZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-halton-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-lincolnshire-masonic-hall-halton-road
