province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url
monmouthshire,,Abergavenny Masonic Hall,hall,St John's Street,,Abergavenny,,NP7 5RT,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-monmouthshire-masonic-hall-st-johns-street
monmouthshire,,Blackwood Masonic Hall,hall,Cliff Road,,Blackwood,,NP12 0NT,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-monmouthshire-masonic-hall-cliff-road
monmouthshire,,Castleton Masonic Hall,hall,Newport Road,,Castleton,,CF4 2UR,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-monmouthshire-masonic-hall-newport-road
monmouthshire,,Chepstow Masonic Hall,hall,School Hill,,Chepstow,,NP16 5BZ,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-monmouthshire-masonic-hall-school-hill
monmouthshire,,Ebbw Vale Masonic Hall,hall,Western Terrace,,Ebbw Vale,,NP23 6ES,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-monmouthshire-masonic-hall-western-terrace
monmouthshire,,Monmouth Masonic Hall,hall,Monk Street,,Monmouth,,NP25 3NZ,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-monmouthshire-masonic-hall-monk-street
monmouthshire,newport-masonic-hall-newport-np20-2ag,Newport Masonic Hall,hall,109 Lower Dock Street,,Newport,,NP20 2AG,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-monmouthshire-masonic-hall-109-lower-dock-street
monmouthshire,,Pontypool Masonic Hall,hall,Trosnant Street,,Pontypool,,NP4 8AT,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-monmouthshire-masonic-hall-trosnant-street
monmouthshire,,Rhymney Masonic Hall,hall,The Terrace,,Rhymney,,NP22 5LY,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-monmouthshire-masonic-hall-terrace
monmouthshire,,Risca Masonic Hall,hall,Grove Road,,Risca,,NP11 6HB,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-monmouthshire-masonic-hall-grove-road
monmouthshire,,Tredegar Masonic Hall,hall,Morgan Street,,Tredegar,,NP22 3NA,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-monmouthshire-masonic-hall-morgan-street
