province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url
norfolk,,Attleborough Freemasons' Hall,hall,Station Road,,Attleborough,,NR17 2AS,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-freemasons-hall-station-road
norfolk,,Aylsham Masonic Hall,hall,Mill Road,,Aylsham,,NR11 6DS,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-masonic-hall-mill-road
norfolk,,Dereham Freemasons' Hall,hall,Norwich Street,,Dereham,,NR19 1AD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-freemasons-hall-norwich-street
norfolk,,Diss Freemasons' Hall,hall,Parkfields,,Diss,,IP22 4LE,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-freemasons-hall-parkfields
norfolk,,Downham Market Masonic Hall,hall,Ryston End,,Downham Market,,PE38 9AX,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-masonic-hall-ryston-end
norfolk,,Drayton Masonic Rooms,hall,Drayton High Road,,Drayton,,NR8 6AE,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-masonic-rooms-drayton-high-road
norfolk,,Fakenham Masonic Hall,hall,Hayes Lane,,Fakenham,,NR21 9ER,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-masonic-hall-hayes-lane
norfolk,,"Ffolkles Arms, King's Lynn",hotel,Ffolkles Arms,Lynn Road,King's Lynn,,PE31 6BJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-ffolkles-arms-lynn-road
norfolk,,Harleston Masonic Rooms,hall,Redenhall Road,,Harleston,,IP20 9EN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-masonic-rooms-redenhall-road
norfolk,,Horning Village Hall,other,Horning Village Hall,Kimberly Terrace,Horning,,NR12 8LH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-horning-village-hall-kimberly-terrace
norfolk,,King's Lynn Masonic Centre,hall,King's Lynn Masonic Centre,Hamburg Way,King's Lynn,,PE30 2ND,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-kings-lynn-masonic-centre-hamburg-way
norfolk,,Norwich Masonic Hall,hall,47 St Giles Street,,Norwich,,NR2 1JR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-masonic-hall-47-st-giles-street
norfolk,,Norwich School,school,Norwich School,71a The Close,Norwich,,NR1 4DD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-norwich-school-71a-close
norfolk,,"Oaklands Hotel, Norwich",hotel,Oaklands Hotel,89 Yarmouth Road,Norwich,,NR7 0HH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-oaklands-hotel-89-yarmouth-road
norfolk,,"Royal Assembly Rooms, Great Yarmouth",other,Royal Assembly Rooms,Albert Square,Great Yarmouth,,NR30 3JH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-royal-assembly-rooms-albert-square
norfolk,,Sheringham Masonic Centre,hall,36 Cromer Road,,Sheringham,,NR26 8RR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-masonic-centre-36-cromer-road
norfolk,,"The Assembly Rooms, Swaffham",other,The Assembly Rooms,Market Place,Swaffham,,PE37 7QH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-assembly-rooms-market-place
norfolk,,"The Church Room, Mundesley",other,The Church Room,Cromer Road,Mundesley,,NR11 8BE,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-church-room-cromer-road
norfolk,,"The Community Centre, North Walsham",other,The Community Centre,New Road,North Walsham,,NR28 9DE,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-community-centre-new-road
norfolk,,"The Maltings, Wells-next-the-Sea",other,The Maltings,Staithe Street,Wells-next-the-Sea,,NR23 1AN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-maltings-staithe-street
norfolk,,"The Pavillion, Heacham",other,The Pavillion,Manor Farm,Heacham,,PE31 7JX,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-pavillion-manor-farm
norfolk,,Thetford Masonic Hall,hall,Bridges Walk,,Thetford,,IP24 2EF,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-masonic-hall-bridges-walk
norfolk,,Watton Masonic Hall,hall,Barn Ruche,,Watton,,IP25 6HN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-norfolk-masonic-hall-barn-ruche
