province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url
oxfordshire,,Banbury Freemasons' Hall,hall,Marlborough Road,,Banbury,,OX16 5DB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-oxfordshire-freemasons-hall-marlborough-road
oxfordshire,,Burford Masonic Hall,hall,Sheep Street,,Burford,,OX18 4LS,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-oxfordshire-masonic-hall-sheep-street
oxfordshire,,"Cardinal House, Oxford",other,Cardinal House,Baldon Lane,Oxford,,OX44 9LT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-oxfordshire-cardinal-house-baldon-lane
oxfordshire,,Caversham Masonic Hall,hall,Caversham Masonic Hall,Henley Road,Caversham,,RG4 6DN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-oxfordshire-caversham-masonic-hall-henley-road
oxfordshire,,Chipping Norton Masonic Hall,hall,Over Norton Road,,Chipping Norton,,OX7 5NR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-oxfordshire-masonic-hall-over-norton-road
oxfordshire,,"Henley Masonic Hall, Henley-on-Thames",hall,Henley Masonic Hall,Reading Road,Henley-on-Thames,,RG9 1DL,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-oxfordshire-henley-masonic-hall-reading-road
oxfordshire,,"The Randolph Hotel, Oxford",hotel,The Randolph Hotel,Beaumont Street,Oxford,,OX1 2LN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-oxfordshire-randolph-hotel-beaumont-street
oxfordshire,,"Weyland Hall, Bicester",other,Weyland Hall,10 North Street,Bicester,,OX26 6ND,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-oxfordshire-weyland-hall-10-north-street
oxfordshire,,Witney Masonic Hall,hall,Church Green,,Witney,,OX28 4AW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-oxfordshire-masonic-hall-church-green
oxfordshire,,Woodstock Masonic Hall,hall,New Road,,Woodstock,,OX20 1PD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-oxfordshire-masonic-hall-new-road
