province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url,ugle_url
shropshire,,"Castle Hall, Bridgnorth",other,Castle Hall,West Castle Street,Bridgnorth,,WV16 4AB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-castle-hall-west-castle-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-castle-hall-west-castle-street
shropshire,,Church Stretton Masonic Hall,hall,65 High Street,,Church Stretton,,SY6 6BY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-masonic-hall-65-high-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-masonic-hall-65-high-street
shropshire,,Cleobury Mortimer Golf Club,club,Cleobury Mortimer Golf Club,Wyre Common,Cleobury Mortimer,,DY14 8HQ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-cleobury-mortimer-golf-club-wyre-common,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-cleobury-mortimer-golf-club-wyre-common
shropshire,,"Moor Park School, Ludlow",school,Moor Park School,Moor Park,Ludlow,,SY8 4DZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-moor-park-school-moor-park,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-moor-park-school-moor-park
shropshire,newport-masonic-hall-newport-tf10-7hd,Newport Masonic Hall,hall,Wellington Road,,Newport,,TF10 7HD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-masonic-hall-wellington-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-masonic-hall-wellington-road
shropshire,,"North Shropshire Masonic Rooms, Whitchurch",hall,North Shropshire Masonic Rooms,Castle Hill,Whitchurch,,SY13 1BQ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-north-shropshire-masonic-rooms-castle-hill,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-north-shropshire-masonic-rooms-castle-hill
shropshire,,Oswestry Freemasons' Hall,hall,Roft Street,,Oswestry,,SY11 2EP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-freemasons-hall-roft-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-freemasons-hall-roft-street
shropshire,,"Park House Hotel, Shifnal",hotel,Park House Hotel,Park Street,Shifnal,,TF11 9BA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-park-house-hotel-park-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-park-house-hotel-park-street
shropshire,,Shrewsbury Freemasons' Hall,hall,Crewe Street,,Shrewsbury,,SY1 2HQ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-freemasons-hall-crewe-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-freemasons-hall-crewe-street
shropshire,,"The Beacon Community Centre, Market Drayton",other,The Beacon Community Centre,Prospect Road,Market Drayton,,TF9 3AP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-beacon-community-centre-prospect-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-beacon-community-centre-prospect-road
shropshire,,"The Red House, Albrighton",other,The Red House,High Street,Albrighton,,WV7 3LU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-red-house-high-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-red-house-high-street
shropshire,,"The Town Hall, Ellesmere",other,The Town Hall,Willow Street,Ellesmere,,SY12 0AL,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-town-hall-willow-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-town-hall-willow-street
shropshire,,Wellington Masonic Hall,hall,Constitution Hill,,Wellington,,TF1 3AY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-masonic-hall-constitution-hill,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-masonic-hall-constitution-hill
shropshire,,"Whitton Community Centre, Knighton",other,Whitton Community Centre,,Knighton,,LD7 1NP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-whitton-community-centre,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-shropshire-whitton-community-centre
