province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url
somerset,,Bath Masonic Hall (Old Orchard Street),hall,Old Orchard Street,,Bath,,BA1 1JU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-somerset-masonic-hall-old-orchard-street
somerset,,Bath Masonic Hall (Redfield Road),hall,Redfield Road,,Bath,,BA3 2JN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-somerset-masonic-hall-redfield-road
somerset,,Bridgwater Masonic Temple,hall,King Square,,Bridgwater,,TA6 3DH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-somerset-masonic-temple-king-square
somerset,,Bruton Masonic Hall,hall,High Street,,Bruton,,BA10 0AH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-somerset-masonic-hall-high-street
somerset,,Burnham-on-Sea Masonic Hall,hall,,,Burnham-on-Sea,,TA8 1NX,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-somerset-masonic-hall
somerset,,Chard Masonic Hall,hall,Fore Street,,Chard,,TA20 1PH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-somerset-masonic-hall-fore-street
somerset,,Clevedon Masonic Hall,hall,Albert Road,,Clevedon,,BS21 7RN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-somerset-masonic-hall-albert-road
somerset,,Crewkerne Masonic Hall,hall,South Street,,Crewkerne,,TA18 7JU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-somerset-masonic-hall-south-street
somerset,,Frome Masonic Hall,hall,North Parade,,Frome,,BA11 1AU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-somerset-masonic-hall-north-parade
somerset,,Glastonbury Masonic Hall,hall,Hanover Square,,Glastonbury,,BA6 8BT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-somerset-masonic-hall-hanover-square
somerset,,Ilminster Masonic Hall,hall,Court Barton,,Ilminster,,TA19 0DQ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-somerset-masonic-hall-court-barton
