province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url
south_wales,,Aberdare Masonic Hall,hall,Canon Street,,Aberdare,,CF44 7AT,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-canon-street
south_wales,,"Albert Edward Prince of Wales Court, Bridgend",other,Albert Edward Prince of Wales Court,Penylan Avenue,Bridgend,,CF36 3LY,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-albert-edward-prince-wales-court-penylan-avenue
south_wales,,Bargoed Masonic Hall,hall,Cardiff Road,,Bargoed,,CF81 8NY,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-cardiff-road
south_wales,,Barry Masonic Hall,hall,Broad Street,,Barry,,CF62 7AT,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-broad-street
south_wales,,Brecon Masonic Hall,hall,Cerrigcochion Road,,Brecon,,LD3 7NR,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-cerrigcochion-road
south_wales,,Bridgend Masonic Hall,hall,Coychurch Road,,Bridgend,,CF31 2AP,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-coychurch-road
south_wales,,Builth Wells Masonic Hall,hall,3 Garth Road,,Builth Wells,,LD2 3AR,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-3-garth-road
south_wales,,Caerphilly Masonic Hall,hall,Princes Avenue,,Caerphilly,,CF83 1HR,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-princes-avenue
south_wales,,Cardiff Masonic Hall,hall,Guildford Crescent,,Cardiff,,CF10 2HL,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-guildford-crescent
south_wales,,Llandrindod Wells Masonic Hall,hall,Park Terrace,,Llandrindod Wells,,LD1 6AY,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-park-terrace-0
south_wales,,"Llantonian Hall, Llantwit Major",other,Llantonian Hall,Boverton Road,Llantwit Major,,CF61 1XZ,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-llantonian-hall-boverton-road
south_wales,,Maesteg Masonic Hall,hall,Castle Street,,Maesteg,,CF34 9YH,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-castle-street
south_wales,,Merthyr Tydfil Masonic Hall,hall,Park Terrace,,Merthyr Tydfil,,CF47 8RF,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-park-terrace
south_wales,,Neath Masonic Hall,hall,Queen Street,,Neath,,SA11 1DN,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-queen-street
south_wales,,Penarth Masonic Hall,hall,Stanwell Road,,Penarth,,CF64 3LR,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-stanwell-road
south_wales,,Pontyclun Masonic Hall,hall,Park Crescent,,Pontyclun,,CF72 9BR,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-park-crescent
south_wales,,Pontypridd Masonic Hall,hall,Courthouse Street,,Pontypridd,,CF37 1JW,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-courthouse-street
south_wales,,Port Talbot Masonic Hall,hall,Forge Road,,Port Talbot,,SA13 1US,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-forge-road
south_wales,,Porthcawl Masonic Hall,hall,New Road,,Porthcawl,,CF36 5DG,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-new-road
south_wales,,Swansea Masonic Hall,hall,St Helen's Road,,Swansea,,SA1 4DF,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-st-helens-road
south_wales,,"The Royal Air Forces Association, Treorchy",club,The Royal Air Forces Association,137 Bute Street,Treorchy,,CF42 6BB,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-royal-air-forces-association-137-bute-street
south_wales,,"Town Hall, Cowbridge",other,Town Hall,High Street,Cowbridge,,CF71 7AD,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-town-hall-high-street
south_wales,,Treharris Masonic Hall,hall,Williams Terrace,,Treharris,,CF46 5HH,Wales,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-south-wales-masonic-hall-williams-terrace
