province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url
staffordshire,,"Denstone College, Uttoxeter",school,Denstone College,Denstone,Uttoxeter,,ST14 5HN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-staffordshire-denstone-college-denstone
staffordshire,,"Hanley Masonic Hall, Stoke-on-Trent",hall,Hanley Masonic Hall,Snow Hill,Stoke-on-Trent,,ST1 4NA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-staffordshire-hanley-masonic-hall-snow-hill
staffordshire,,"King's Arms Hotel, Stafford",hotel,King's Arms Hotel,Stafford Street,Stafford,,ST21 6BL,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-staffordshire-kings-arms-hotel-stafford-street
staffordshire,,Leek Masonic Hall,hall,King Street,,Leek,,ST13 5NW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-staffordshire-masonic-hall-king-street
staffordshire,,Newcastle-under-Lyme Freemasons' Hall,hall,16 Garden Street,,Newcastle-under-Lyme,,ST5 1BW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-staffordshire-freemasons-hall-16-garden-street
staffordshire,,"Old Mill, Uttoxeter",other,Old Mill,Church Street,Uttoxeter,,ST14 8AG,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-staffordshire-old-mill-church-street
staffordshire,,"Rugeley & District Masonic Centre, The Chase Golf Club, Stafford",hall,"Rugeley & District Masonic Centre, The Chase Golf Club",Pottal Pool Road,Stafford,,ST19 5RN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-staffordshire-rugeley-district-masonic-centre-chase-golf-club-pottal-pool-road
staffordshire,,Stafford Masonic Hall,hall,Gaol Square,,Stafford,,ST16 3AJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-staffordshire-masonic-hall-gaol-square
staffordshire,,Stoke-on-Trent Masonic Hall,hall,The Terrace,,Stoke-on-Trent,,ST10 1PA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-staffordshire-masonic-hall-terrace
staffordshire,,Stone Freemasons' Hall,hall,Market Square,,Stone,,ST15 8AT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-staffordshire-freemasons-hall-market-square
staffordshire,,Tamworth Masonic Rooms,hall,29 Lichfield Street,,Tamworth,,B79 7QE,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-staffordshire-masonic-rooms-29-lichfield-street
staffordshire,,Walsall Masonic Hall,hall,The Green,,Walsall,,WS9 8NH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-staffordshire-masonic-hall-green
staffordshire,,Wednesbury Masonic Temple,hall,Russell Street,,Wednesbury,,WS10 7AZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-staffordshire-masonic-temple-russell-street
staffordshire,,West Bromwich Masonic Hall,hall,Edward Street,,West Bromwich,,B70 8NT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-staffordshire-masonic-hall-edward-street
staffordshire,,Wolverhampton Masonic Hall,hall,211 Tettenhall Road,,Wolverhampton,,WV6 0DD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-staffordshire-masonic-hall-211-tettenhall-road
