province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url,ugle_url
suffolk,,Beccles Masonic Rooms,hall,2 London Road,,Beccles,,NR34 9TZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-rooms-2-london-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-rooms-2-london-road
suffolk,,"Boxford Village Hall, Sudbury",other,Boxford Village Hall,Stone Street Road,Sudbury,,CO10 5NP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-boxford-village-hall-stone-street-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-boxford-village-hall-stone-street-road
suffolk,,"Bunbury Rooms, Mildenhall",other,Bunbury Rooms,Church Walk,Mildenhall,,IP28 7ED,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-bunbury-rooms-church-walk,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-bunbury-rooms-church-walk
suffolk,,Bungay Masonic Rooms,hall,18 Chaucer Street,,Bungay,,NR35 1DT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-rooms-18-chaucer-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-rooms-18-chaucer-street
suffolk,,Clare Masonic Hall,hall,Cavendish Road,,Clare,,CO10 8PH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-cavendish-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-cavendish-road
suffolk,,Felixstowe Masonic Hall,hall,19 Orwell Road,,Felixstowe,,IP11 7EP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-19-orwell-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-19-orwell-road
suffolk,,Framlingham Masonic Hall,hall,New Road,,Framlingham,,IP13 9EH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-new-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-new-road
suffolk,,Halesworth Masonic Hall,hall,Market Place,,Halesworth,,IP19 8BA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-market-place,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-market-place
suffolk,,Ipswich Freemasons' Hall,hall,Soane Street,,Ipswich,,IP4 2BG,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-freemasons-hall-soane-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-freemasons-hall-soane-street
suffolk,,Lowestoft Masonic Hall,hall,101 The Avenue,,Lowestoft,,NR33 7LJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-101-avenue,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-101-avenue
suffolk,,Saxmundham Masonic Temple,hall,3 Chapel Road,,Saxmundham,,IP17 1BH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-temple-3-chapel-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-temple-3-chapel-road
suffolk,,Southwold Masonic Hall,hall,Manor Park Road,,Southwold,,IP18 6AF,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-manor-park-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-manor-park-road
suffolk,,"St Edmund Masonic Centre, Bury",hall,St Edmund Masonic Centre,Ashlar House,Bury,,IP32 7AB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-st-edmund-masonic-centre-ashlar-house,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-st-edmund-masonic-centre-ashlar-house
suffolk,,Stowmarket Masonic Hall,hall,Violet Hill Road,,Stowmarket,,IP14 1NQ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-violet-hill-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-violet-hill-road
suffolk,,Sudbury Masonic Hall,hall,North Street,,Sudbury,,CO10 1NA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-north-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-north-street
suffolk,,"The Cliff Hotel, Great Yarmouth",hotel,The Cliff Hotel,Cliff Hill,Great Yarmouth,,NR31 6DH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-cliff-hotel-cliff-hill,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-cliff-hotel-cliff-hill
suffolk,,"The College, Framlingham",school,The College,College Road,Framlingham,,IP13 9EY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-college-college-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-college-college-road
suffolk,,"The Guildhall, Hadleigh",other,The Guildhall,Market Place,Hadleigh,,IP7 5DN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-guildhall-market-place,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-guildhall-market-place
suffolk,,Woodbridge Masonic Hall,hall,New Street,,Woodbridge,,IP12 1DX,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-new-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-suffolk-masonic-hall-new-street
