province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url
surrey,,"Agincourt Hall, Camberley",other,Agincourt Hall,London Road,Camberley,,GU15 3JA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-agincourt-hall-london-road
surrey,,"Bisley Camp, Woking",other,Bisley Camp,Brookwood,Woking,,GU24 0NY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-bisley-camp-brookwood
surrey,,"Camelsdale Primary School, Haslemere",school,Camelsdale Primary School,9 School Road,Haslemere,,GU27 3RN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-camelsdale-primary-school-9-school-road
surrey,,Chertsey Masonic Hall,hall,Masonic Hall Road,,Chertsey,,KT16 9DH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-masonic-hall-masonic-hall-road
surrey,,Cranleigh Masonic Hall,hall,Village Way,,Cranleigh,,GU6 8AF,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-masonic-hall-village-way
surrey,,"Croham Hurst Golf Club, South Croydon",club,Croham Hurst Golf Club,,South Croydon,,CR2 7HJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-croham-hurst-golf-club
surrey,,Croydon & District Masonic Hall,hall,Croydon & District Masonic Hall,73 Oakfield Road,Croydon,,CR0 2UX,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-croydon-district-masonic-hall-73-oakfield-road
surrey,,Dorking Masonic Hall,hall,Dorking Halls,,Dorking,,RH4 1SG,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-masonic-hall-dorking-halls
surrey,,Farnham Masonic Hall,hall,Farnham Masonic Hall,42 Castle Street,Farnham,,GU9 7JB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-farnham-masonic-hall-42-castle-street
surrey,,Godalming Masonic Hall,hall,Ockford Road,,Godalming,,GU7 1RQ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-masonic-hall-ockford-road
surrey,,Guildford Masonic Centre,hall,Guildford Masonic Centre,Weybourne House,Guildford,,GU2 4DR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-guildford-masonic-centre-weybourne-house
surrey,,Horley & District Constitutional Club,club,Horley & District Constitutional Club,1 Albert Road,Horley,,RH6 7HB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-horley-district-constitutional-club-1-albert-road
surrey,,"Kingston Grammar School, Kingston-upon-Thames",school,Kingston Grammar School,70 London Road,Kingston-upon-Thames,,KT2 6PY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-kingston-grammar-school-70-london-road
surrey,,"Nutfield Masonic Centre, Redhill",hall,Nutfield Masonic Centre,Nutfield Road,Redhill,,RH1 4ED,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-nutfield-masonic-centre-nutfield-road
surrey,,"RAC Country Club, Epsom",club,RAC Country Club,Woodcote Park,Epsom,,KT18 7EW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-rac-country-club-woodcote-park
surrey,,Surbiton Masonic Hall,hall,Glenmore House,,Surbiton,,KT6 4BN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-masonic-hall-glenmore-house
surrey,,Sutton Masonic Hall,hall,Grove Road,,Sutton,,SM1 1BB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-masonic-hall-grove-road
surrey,,"The Harrison Room, Great Bookham",other,The Harrison Room,Old Barn Hall,Great Bookham,,KT23 3PQ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-harrison-room-old-barn-hall
surrey,,"West End Village Hall, Esher",other,West End Village Hall,West End Lane,Esher,,KT10 8LB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-surrey-west-end-village-hall-west-end-lane
