province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url
sussex,,Battle Masonic Hall,hall,Battle Masonic Hall,3 North Trade Road,Battle,,TN33 0HA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-battle-masonic-hall-3-north-trade-road
sussex,,"Bexhill Masonic Centre, Bexhill-on-Sea",hall,Bexhill Masonic Centre,Wilton Road,Bexhill-on-Sea,,TN40 1HY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-bexhill-masonic-centre-wilton-road
sussex,,Brighton College,school,Brighton College,Eastern Road,Brighton,,BN2 0AL,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-brighton-college-eastern-road
sussex,,"Clapham and Patching Village Hall, Worthing",other,Clapham and Patching Village Hall,201 Long Furlong,Worthing,,BN13 3UT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-clapham-and-patching-village-hall-201-long-furlong
sussex,,Crawley Masonic Hall,hall,Crawley Masonic Hall,Ifield Green,Crawley,,RH11 0ND,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-crawley-masonic-hall-ifield-green
sussex,,"East Brighton Masonic Centre, Jerrom Hall, Peacehaven",hall,"East Brighton Masonic Centre, Jerrom Hall",16 Seaview Road,Peacehaven,,BN10 8PX,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-east-brighton-masonic-centre-jerrom-hall-16-seaview-road
sussex,,East Grinstead Masonic Centre,hall,St James Road,,East Grinstead,,RH19 1DL,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-masonic-centre-st-james-road
sussex,,Eastbourne Masonic Centre,hall,Eastbourne Masonic Centre,15 South Street,Eastbourne,,BN21 4UJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-eastbourne-masonic-centre-15-south-street
sussex,,"Heffle Masonic Hall, Etchingham",hall,Heffle Masonic Hall,Stonegate Road,Etchingham,,TN19 7JR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-heffle-masonic-hall-stonegate-road
sussex,,Herstmonceux Masonic Hall,hall,Hailsham Road,,Herstmonceux,,BN27 4LJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-masonic-hall-hailsham-road
sussex,,"Hurstpierpoint College, Hassocks",school,Hurstpierpoint College,College Lane,Hassocks,,BN6 9JS,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-hurstpierpoint-college-college-lane
sussex,,Lewes Freemasons' Hall,hall,Lewes Freemasons' Hall,148 High Street,Lewes,,BN7 1XT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-lewes-freemasons-hall-148-high-street
sussex,,Littlehampton Masonic Hall,hall,Church Street,,Littlehampton,,BN17 5EN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-masonic-hall-church-street-0
sussex,,Midhurst Masonic Hall,hall,Bepton Road,,Midhurst,,GU29 9HH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-masonic-hall-bepton-road
sussex,,"Old Ship Hotel, Brighton",hotel,Old Ship Hotel,Kings Road,Brighton,,BN1 1NR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-old-ship-hotel-kings-road
sussex,,"Pallant Centre, Chichester",other,Pallant Centre,7 South Pallant,Chichester,,PO19 1SY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-pallant-centre-7-south-pallant
sussex,,Pulborough Masonic Hall,hall,Station Road,,Pulborough,,RH20 1AH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-masonic-hall-station-road
sussex,,Rye Masonic Hall,hall,Turkey Cock Lane,,Rye,,TN31 7LE,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-masonic-hall-turkey-cock-lane
sussex,,St Leonards-on-Sea Masonic Hall,hall,East Ascent,,St Leonards-on-Sea,,TN38 0DR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-masonic-hall-east-ascent
sussex,,"Sussex Masonic Centre, Brighton",hall,Sussex Masonic Centre,25 Queens Road,Brighton,,BN1 3YH,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-sussex-masonic-centre-25-queens-road
sussex,,"The Birch Hotel, Haywards Heath",hotel,The Birch Hotel,Lewes Road,Haywards Heath,,RH17 7SF,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-birch-hotel-lewes-road
sussex,,"The Charmandean Centre, Worthing",other,The Charmandean Centre,Forest Road,Worthing,,BN14 9HS,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-charmandean-centre-forest-road
sussex,,"The Gordon Centre, Bognor Regis",other,The Gordon Centre,9 Canada Grove,Bognor Regis,,PO21 1DW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-gordon-centre-9-canada-grove
sussex,,The Hove Club,club,The Hove Club,28 Fourth Avenue,Hove,,BN3 2PJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-hove-club-28-fourth-avenue
sussex,,"The Normandy Centre, Horsham",other,The Normandy Centre,Denne Road,Horsham,,RH12 1JF,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-normandy-centre-denne-road
sussex,,The Steyning Centre,other,The Steyning Centre,Fletchers Croft,Steyning,,BN44 3XZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-steyning-centre-fletchers-croft
sussex,,Uckfield Masonic Hall,hall,Church Street,,Uckfield,,TN22 1BJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-masonic-hall-church-street
sussex,,"Village Hall, Wisborough Green",other,Village Hall,School Road,Wisborough Green,,RH14 0DU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-sussex-village-hall-school-road
