province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url,ugle_url
west_kent,,Dartford Masonic Hall,hall,Dartford Masonic Hall,71 West Hill,Dartford,,DA1 2HJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-dartford-masonic-hall-71-west-hill,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-dartford-masonic-hall-71-west-hill
west_kent,,Greenhithe Masonic Hall,hall,London Road,,Greenhithe,,DA9 9DA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-masonic-hall-london-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-masonic-hall-london-road
west_kent,,"Oakley House, Bromley",other,Oakley House,Bromley Common,Bromley,,BR2 8HA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-oakley-house-bromley-common,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-oakley-house-bromley-common
west_kent,,"Prince George Duke of Kent Court, Chislehurst",other,Prince George Duke of Kent Court,Shepherds Green,Chislehurst,,BR7 6PA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-prince-george-duke-kent-court-shepherds-green,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-prince-george-duke-kent-court-shepherds-green
west_kent,,Sevenoaks Masonic Hall,hall,119a St John's Hill,,Sevenoaks,,TN13 3PE,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-masonic-hall-119a-st-johns-hill,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-masonic-hall-119a-st-johns-hill
west_kent,,"Shirley Woolmer Masonic Hall, Sidcup",hall,Shirley Woolmer Masonic Hall,Church Road,Sidcup,,DA14 6BX,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-shirley-woolmer-masonic-hall-church-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-shirley-woolmer-masonic-hall-church-road
west_kent,,Tunbridge Wells Masonic Hall,hall,St John's Road,,Tunbridge Wells,,TN4 9UY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-masonic-hall-st-johns-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-masonic-hall-st-johns-road
west_kent,,"Westwood Masonic Centre, Welling",hall,Westwood Masonic Centre,Bellegrove Road,Welling,,DA16 3RD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-westwood-masonic-centre-bellegrove-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-westwood-masonic-centre-bellegrove-road
west_kent,,Wilmington Masonic Hall,hall,Hawley Road,,Wilmington,,DA1 1PA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-masonic-hall-hawley-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-masonic-hall-hawley-road
west_kent,,Wrotham Masonic Hall,hall,St Mary's Road,,Wrotham,,TN15 7AN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-masonic-hall-st-marys-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-west-kent-masonic-hall-st-marys-road
