province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url
wiltshire,,Bradford-on-Avon Masonic Hall,hall,Church Street,,Bradford-on-Avon,,BA15 1LN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-wiltshire-masonic-hall-church-street
wiltshire,,Calne Masonic Hall,hall,Stanier Road,,Calne,,SN11 9PX,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-wiltshire-masonic-hall-stanier-road
wiltshire,,Chippenham Masonic Hall,hall,Emery Lane,,Chippenham,,SN15 3JP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-wiltshire-masonic-hall-emery-lane
wiltshire,,Devizes Masonic Hall,hall,Morris Lane,,Devizes,,SN10 1NU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-wiltshire-masonic-hall-morris-lane
wiltshire,,Ludgershall Masonic Hall,hall,Station Approach,,Ludgershall,,SP11 9LX,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-wiltshire-masonic-hall-station-approach
wiltshire,,Marlborough Masonic Hall,hall,Oxford Street,,Marlborough,,SN8 1AP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-wiltshire-masonic-hall-oxford-street
wiltshire,,Melksham Masonic Hall,hall,Church Walk,,Melksham,,SN12 6LS,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-wiltshire-masonic-hall-church-walk
wiltshire,,"Pickwick Masonic Hall, Corsham",hall,Pickwick Masonic Hall,Bath Road,Corsham,,SN13 0HB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-wiltshire-pickwick-masonic-hall-bath-road
wiltshire,,Salisbury Freemasons' Hall,hall,Crane Bridge Road,,Salisbury,,SP1 2QD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-wiltshire-freemasons-hall-crane-bridge-road
wiltshire,,Swindon Masonic Centre,hall,The Planks,,Swindon,,SN3 1QP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-wiltshire-masonic-centre-planks
wiltshire,,Trowbridge Masonic Hall,hall,Yerbury Street,,Trowbridge,,BA14 8DP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-wiltshire-masonic-hall-yerbury-street
wiltshire,,Warminster Masonic Hall,hall,69 Market Place,,Warminster,,BA12 9AZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-wiltshire-masonic-hall-69-market-place
wiltshire,,Westbury Masonic Hall,hall,Warminster Road,,Westbury,,BA13 3PD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-wiltshire-masonic-hall-warminster-road
