province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url
worcestershire,birmingham-masonic-hall-birmingham-b31-2js,Birmingham Masonic Hall,hall,641 Bristol Road South,,Birmingham,,B31 2JS,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-worcestershire-masonic-hall-641-bristol-road-south
worcestershire,,Bromsgrove School,school,Bromsgrove School,Worcester Road,Bromsgrove,,B61 7DU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-worcestershire-bromsgrove-school-worcester-road
worcestershire,,Evesham Masonic Hall,hall,Swan Lane,,Evesham,,WR11 4PD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-worcestershire-masonic-hall-swan-lane
worcestershire,,Halesowen Masonic Hall,hall,Furnace Lane,,Halesowen,,B63 3LU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-worcestershire-masonic-hall-furnace-lane
worcestershire,,"James S Webb Freemasonry Centre, Stourbridge",hall,James S Webb Freemasonry Centre,Victoria Street,Stourbridge,,DY8 1SP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-worcestershire-james-s-webb-freemasonry-centre-victoria-street
worcestershire,,"Kidderminster Masonic Centre, Kidderminister",hall,Kidderminster Masonic Centre,Chester Road North,Kidderminister,,DY10 1TL,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-worcestershire-kidderminster-masonic-centre-chester-road-north
worcestershire,,Malvern Masonic Hall,hall,Belle Vue Terrace,,Malvern,,WR14 4PZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-worcestershire-masonic-hall-belle-vue-terrace
worcestershire,,"Moseley Masonic Hall, Birmingham",hall,Moseley Masonic Hall,221 Alcester Road South,Birmingham,,B14 6DT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-worcestershire-moseley-masonic-hall-221-alcester-road-south
worcestershire,,Stourport on Severn Masonic Hall,hall,Severn Road,,Stourport on Severn,,DY13 9HB,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-worcestershire-masonic-hall-severn-road
worcestershire,,Tenbury Wells Masonic Rooms,hall,The Square,,Tenbury Wells,,WR15 8BP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-worcestershire-masonic-rooms-square
worcestershire,,"The Old Village Hall, Worcester",other,The Old Village Hall,Shrawley,Worcester,,WR6 6TT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-worcestershire-old-village-hall-shrawley
worcestershire,,Worcester Masonic Hall,hall,Rainbow Hill,,Worcester,,WR3 8LX,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-worcestershire-masonic-hall-rainbow-hill
