province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url
yorkshire_ne,,Bedale Masonic Hall,hall,South End,,Bedale,,DL8 2BN,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-masonic-hall-south-end
yorkshire_ne,,Beverley Masonic Hall,hall,Trinity Lane,,Beverley,,HU17 0DY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-masonic-hall-trinity-lane
yorkshire_ne,,Bridlington Masonic Hall,hall,St John's Avenue,,Bridlington,,YO16 4NG,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-masonic-hall-st-johns-avenue
yorkshire_ne,,Filey Masonic Hall,hall,Rutland Street,,Filey,,YO14 9JA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-masonic-hall-rutland-street
yorkshire_ne,,"Galtres Community Centre, Easingwold",other,Galtres Community Centre,Forest of Galtres Centre,Easingwold,,YO61 3AD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-galtres-community-centre-forest-galtres-centre
yorkshire_ne,,Great Driffield Masonic Hall,hall,Lockwood Street,,Great Driffield,,YO25 6RU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-masonic-hall-lockwood-street
yorkshire_ne,,Guisborough Freemasons' Hall,hall,27 Chaloner Street,,Guisborough,,TS14 6QD,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-freemasons-hall-27-chaloner-street
yorkshire_ne,,Hornsea Masonic Hall,hall,Alexandra Road,,Hornsea,,HU18 1PU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-masonic-hall-alexandra-road
yorkshire_ne,,Howden Masonic Hall,hall,Selby Road,,Howden,,DN14 7JW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-masonic-hall-selby-road
yorkshire_ne,,Kingston upon Hull Masonic Hall (69 Beverley Road),hall,69 Beverley Road,,Kingston upon Hull,,HU1 3XL,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-masonic-hall-69-beverley-road
yorkshire_ne,,Kingston upon Hull Masonic Hall (Prince Street),hall,Prince Street,,Kingston upon Hull,,HU1 2LU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-masonic-hall-prince-street
yorkshire_ne,,Middlesbrough Masonic Hall,hall,Roman Road,,Middlesbrough,,TS5 5QA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-masonic-hall-roman-road
yorkshire_ne,,"Murton Park, York",other,Murton Park,Murton Lane,York,,YO19 5UF,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-murton-park-murton-lane
yorkshire_ne,,Northallerton Masonic Hall,hall,Friarage Street,,Northallerton,,DL6 1DR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-masonic-hall-friarage-street
yorkshire_ne,,Pickering Masonic Hall,hall,Bridge Street,,Pickering,,YO18 8DT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-masonic-hall-bridge-street
yorkshire_ne,,Pocklington Masonic Hall,hall,8 The Mile,,Pocklington,,YO42 2HA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-masonic-hall-8-mile
yorkshire_ne,,Redcar Masonic Hall,hall,High Street,,Redcar,,TS10 3BY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-masonic-hall-high-street
yorkshire_ne,,Richmond Masonic Hall,hall,16 Newbiggin,,Richmond,,DL10 4DT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-north-and-east-ridings-masonic-hall-16-newbiggin
