province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url,ugle_url
yorkshire_wr,,"Allerton, Leeds",other,Allerton,Nursery Lane,Leeds,,LS17 7HW,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-allerton-nursery-lane,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-allerton-nursery-lane
yorkshire_wr,,"Baildon Masonic Hall, Charlestown, Shipley",hall,Baildon Masonic Hall,Hoyle Court,"Charlestown, Shipley",,BD17 6JS,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-baildon-masonic-hall-hoyle-court,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-baildon-masonic-hall-hoyle-court
yorkshire_wr,,Barnoldswick Masonic Hall (1 Kirklands),hall,1 Kirklands,,Barnoldswick,,BB18 6FJ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-masonic-hall-1-kirklands,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-masonic-hall-1-kirklands
yorkshire_wr,,Barnoldswick Masonic Hall (Vicarage Road),hall,Vicarage Road,,Barnoldswick,,BB16 6DY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-masonic-hall-vicarage-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-masonic-hall-vicarage-road
yorkshire_wr,,Barnsley Masonic Hall (4 Eastgate),hall,4 Eastgate,,Barnsley,,S70 2EP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-masonic-hall-4-eastgate,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-masonic-hall-4-eastgate
yorkshire_wr,,Barnsley Masonic Hall (Cockerham Lane),hall,Cockerham Lane,,Barnsley,,S75 1AT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-masonic-hall-cockerham-lane,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-masonic-hall-cockerham-lane
yorkshire_wr,,Bawtry Masonic Hall,hall,Tickhill Road,,Bawtry,,DN10 6JR,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-masonic-hall-tickhill-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-masonic-hall-tickhill-road
yorkshire_wr,,Bingley Masonic Hall,hall,Charles Street,,Bingley,,BD16 4LG,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-masonic-hall-charles-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-masonic-hall-charles-street
yorkshire_wr,,"Blenheim House, Batley",other,Blenheim House,66 Batley Field Hill,Batley,,WF17 0BE,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-blenheim-house-66-batley-field-hill,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-blenheim-house-66-batley-field-hill
yorkshire_wr,,Bradford Grammar School,school,Bradford Grammar School,Keighley Road,Bradford,,BD9 4JP,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-bradford-grammar-school-keighley-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-yorkshire-west-riding-bradford-grammar-school-keighley-road
